input,output,text
Sentence 1: A plane is taking off. Sentence 2: An air plane is taking off.,5 - perfectly,"Input: Sentence 1: A plane is taking off. Sentence 2: An air plane is taking off. Answer: 5 - perfectly
"
Sentence 1: A man is playing a large flute. Sentence 2: A man is playing a flute.,4 - almost perfectly,"Input: Sentence 1: A man is playing a large flute. Sentence 2: A man is playing a flute. Answer: 4 - almost perfectly
"
Sentence 1: A man is spreading shreded cheese on a pizza. Sentence 2: A man is spreading shredded cheese on an uncooked pizza.,4 - almost perfectly,"Input: Sentence 1: A man is spreading shreded cheese on a pizza. Sentence 2: A man is spreading shredded cheese on an uncooked pizza. Answer: 4 - almost perfectly
"
Sentence 1: Three men are playing chess. Sentence 2: Two men are playing chess.,3 - probably,"Input: Sentence 1: Three men are playing chess. Sentence 2: Two men are playing chess. Answer: 3 - probably
"
Sentence 1: A man is playing the cello. Sentence 2: A man seated is playing the cello.,4 - almost perfectly,"Input: Sentence 1: A man is playing the cello. Sentence 2: A man seated is playing the cello. Answer: 4 - almost perfectly
"
Sentence 1: Some men are fighting. Sentence 2: Two men are fighting.,4 - almost perfectly,"Input: Sentence 1: Some men are fighting. Sentence 2: Two men are fighting. Answer: 4 - almost perfectly
"
Sentence 1: A man is smoking. Sentence 2: A man is skating.,0 - definitely not,"Input: Sentence 1: A man is smoking. Sentence 2: A man is skating. Answer: 0 - definitely not
"
Sentence 1: The man is playing the piano. Sentence 2: The man is playing the guitar.,2 - possibly,"Input: Sentence 1: The man is playing the piano. Sentence 2: The man is playing the guitar. Answer: 2 - possibly
"
Sentence 1: A man is playing on a guitar and singing. Sentence 2: A woman is playing an acoustic guitar and singing.,2 - possibly,"Input: Sentence 1: A man is playing on a guitar and singing. Sentence 2: A woman is playing an acoustic guitar and singing. Answer: 2 - possibly
"
Sentence 1: A person is throwing a cat on to the ceiling. Sentence 2: A person throws a cat on the ceiling.,5 - perfectly,"Input: Sentence 1: A person is throwing a cat on to the ceiling. Sentence 2: A person throws a cat on the ceiling. Answer: 5 - perfectly
"
Sentence 1: The man hit the other man with a stick. Sentence 2: The man spanked the other man with a stick.,4 - almost perfectly,"Input: Sentence 1: The man hit the other man with a stick. Sentence 2: The man spanked the other man with a stick. Answer: 4 - almost perfectly
"
Sentence 1: A man is playing a flute. Sentence 2: A man is playing a bamboo flute.,4 - almost perfectly,"Input: Sentence 1: A man is playing a flute. Sentence 2: A man is playing a bamboo flute. Answer: 4 - almost perfectly
"
Sentence 1: A person is folding a piece of paper. Sentence 2: Someone is folding a piece of paper.,5 - perfectly,"Input: Sentence 1: A person is folding a piece of paper. Sentence 2: Someone is folding a piece of paper. Answer: 5 - perfectly
"
Sentence 1: A man is running on the road. Sentence 2: A panda dog is running on the road.,2 - possibly,"Input: Sentence 1: A man is running on the road. Sentence 2: A panda dog is running on the road. Answer: 2 - possibly
"
Sentence 1: The polar bear is sliding on the snow. Sentence 2: A polar bear is sliding across the snow.,5 - perfectly,"Input: Sentence 1: The polar bear is sliding on the snow. Sentence 2: A polar bear is sliding across the snow. Answer: 5 - perfectly
"
Sentence 1: A woman is writing. Sentence 2: A woman is swimming.,0 - definitely not,"Input: Sentence 1: A woman is writing. Sentence 2: A woman is swimming. Answer: 0 - definitely not
"
Sentence 1: A cat is rubbing against baby's face. Sentence 2: A cat is rubbing against a baby.,4 - almost perfectly,"Input: Sentence 1: A cat is rubbing against baby's face. Sentence 2: A cat is rubbing against a baby. Answer: 4 - almost perfectly
"
Sentence 1: The man is riding a horse. Sentence 2: A man is riding on a horse.,5 - perfectly,"Input: Sentence 1: The man is riding a horse. Sentence 2: A man is riding on a horse. Answer: 5 - perfectly
"
Sentence 1: A man pours oil into a pot. Sentence 2: A man pours wine in a pot.,3 - probably,"Input: Sentence 1: A man pours oil into a pot. Sentence 2: A man pours wine in a pot. Answer: 3 - probably
"
Sentence 1: A man is playing a guitar. Sentence 2: A girl is playing a guitar.,3 - probably,"Input: Sentence 1: A man is playing a guitar. Sentence 2: A girl is playing a guitar. Answer: 3 - probably
"
Sentence 1: A panda is sliding down a slide. Sentence 2: A panda slides down a slide.,5 - perfectly,"Input: Sentence 1: A panda is sliding down a slide. Sentence 2: A panda slides down a slide. Answer: 5 - perfectly
"
Sentence 1: A woman is eating something. Sentence 2: A woman is eating meat.,3 - probably,"Input: Sentence 1: A woman is eating something. Sentence 2: A woman is eating meat. Answer: 3 - probably
"
Sentence 1: A woman peels a potato. Sentence 2: A woman is peeling a potato.,5 - perfectly,"Input: Sentence 1: A woman peels a potato. Sentence 2: A woman is peeling a potato. Answer: 5 - perfectly
"
Sentence 1: The boy fell off his bike. Sentence 2: A boy falls off his bike.,5 - perfectly,"Input: Sentence 1: The boy fell off his bike. Sentence 2: A boy falls off his bike. Answer: 5 - perfectly
"
Sentence 1: The woman is playing the flute. Sentence 2: A woman is playing a flute.,5 - perfectly,"Input: Sentence 1: The woman is playing the flute. Sentence 2: A woman is playing a flute. Answer: 5 - perfectly
"
