input,output,text
pillow,rest,"Input: pillow Answer: rest
"
account,accounting,"Input: account Answer: accounting
"
capability,capacity,"Input: capability Answer: capacity
"
fracture,break,"Input: fracture Answer: break
"
rare,uncommon,"Input: rare Answer: uncommon
"
alleged,supposed,"Input: alleged Answer: supposed
"
elevator,lift,"Input: elevator Answer: lift
"
exclusive,sole,"Input: exclusive Answer: sole
"
west,westward,"Input: west Answer: westward
"
give,present,"Input: give Answer: present
"
exemplary,model,"Input: exemplary Answer: model
"
represent,interpret,"Input: represent Answer: interpret
"
exalted,grand,"Input: exalted Answer: grand
"
print,publish,"Input: print Answer: publish
"
listen,hear,"Input: listen Answer: hear
"
style,title,"Input: style Answer: title
"
swallow,drink,"Input: swallow Answer: drink
"
truly,really,"Input: truly Answer: really
"
duty,responsibility,"Input: duty Answer: responsibility
"
advantage,reward,"Input: advantage Answer: reward
"
communicate,pass,"Input: communicate Answer: pass
"
sex,gender,"Input: sex Answer: gender
"
suspension,hanging,"Input: suspension Answer: hanging
"
redemption,salvation,"Input: redemption Answer: salvation
"
adult,big,"Input: adult Answer: big
"
rupture,break,"Input: rupture Answer: break
"
honorable,honourable,"Input: honorable Answer: honourable
"
trench,deep,"Input: trench Answer: deep
"
impression,effect,"Input: impression Answer: effect
"
summation,addition,"Input: summation Answer: addition
"
empty,discharge,"Input: empty Answer: discharge
"
unlike,different,"Input: unlike Answer: different
"
feather,square,"Input: feather Answer: square
"
conclusion,end,"Input: conclusion Answer: end
"
supporter,friend,"Input: supporter Answer: friend
"
deuce,two,"Input: deuce Answer: two
"
plain,field,"Input: plain Answer: field
"
property,holding,"Input: property Answer: holding
"
scholar,student,"Input: scholar Answer: student
"
consider,take,"Input: consider Answer: take
"
proportion,balance,"Input: proportion Answer: balance
"
industry,manufacture,"Input: industry Answer: manufacture
"
necessitate,take,"Input: necessitate Answer: take
"
uphold,maintain,"Input: uphold Answer: maintain
"
trope,figure,"Input: trope Answer: figure
"
password,word,"Input: password Answer: word
"
gross,revenue,"Input: gross Answer: revenue
"
minor,small,"Input: minor Answer: small
"
routine,function,"Input: routine Answer: function
"
appear,seem,"Input: appear Answer: seem
"
adopt,follow,"Input: adopt Answer: follow
"
desperate,heroic,"Input: desperate Answer: heroic
"
climb,mount,"Input: climb Answer: mount
"
asset,plus,"Input: asset Answer: plus
"
break,stop,"Input: break Answer: stop
"
knowledgeable,knowing,"Input: knowledgeable Answer: knowing
"
tilt,list,"Input: tilt Answer: list
"
vote,voting,"Input: vote Answer: voting
"
manuscript,ms,"Input: manuscript Answer: ms
"
pastime,interest,"Input: pastime Answer: interest
"
motion,question,"Input: motion Answer: question
"
mean,tight,"Input: mean Answer: tight
"
substantive,essential,"Input: substantive Answer: essential
"
act,do,"Input: act Answer: do
"
division,variance,"Input: division Answer: variance
"
inside,within,"Input: inside Answer: within
"
curl,wave,"Input: curl Answer: wave
"
cultivate,work,"Input: cultivate Answer: work
"
elementary,simple,"Input: elementary Answer: simple
"
coherent,ordered,"Input: coherent Answer: ordered
"
tan,burn,"Input: tan Answer: burn
"
baby,sister,"Input: baby Answer: sister
"
brand,make,"Input: brand Answer: make
"
fear,dread,"Input: fear Answer: dread
"
destroy,ruin,"Input: destroy Answer: ruin
"
liter,l,"Input: liter Answer: l
"
rival,competition,"Input: rival Answer: competition
"
backing,mount,"Input: backing Answer: mount
"
ability,power,"Input: ability Answer: power
"
hunt,run,"Input: hunt Answer: run
"
parade,march,"Input: parade Answer: march
"
constitution,organization,"Input: constitution Answer: organization
"
fifth,5th,"Input: fifth Answer: 5th
"
piano,soft,"Input: piano Answer: soft
"
trim,dress,"Input: trim Answer: dress
"
amplification,gain,"Input: amplification Answer: gain
"
sign,mark,"Input: sign Answer: mark
"
newly,new,"Input: newly Answer: new
"
charming,magic,"Input: charming Answer: magic
"
soul,psyche,"Input: soul Answer: psyche
"
harsh,rough,"Input: harsh Answer: rough
"
enormous,tremendous,"Input: enormous Answer: tremendous
"
context,setting,"Input: context Answer: setting
"
tracing,trace,"Input: tracing Answer: trace
"
imply,involve,"Input: imply Answer: involve
"
coupling,union,"Input: coupling Answer: union
"
precisely,just,"Input: precisely Answer: just
"
agency,office,"Input: agency Answer: office
"
imagination,vision,"Input: imagination Answer: vision
"
safety,refuge,"Input: safety Answer: refuge
"
altitude,height,"Input: altitude Answer: height
"
roughly,rough,"Input: roughly Answer: rough
"
fatty,fat,"Input: fatty Answer: fat
"
informal,loose,"Input: informal Answer: loose
"
floor,level,"Input: floor Answer: level
"
nineteen,19,"Input: nineteen Answer: 19
"
relatively,comparatively,"Input: relatively Answer: comparatively
"
frequently,often,"Input: frequently Answer: often
"
savage,blast,"Input: savage Answer: blast
"
quality,character,"Input: quality Answer: character
"
absolute,rank,"Input: absolute Answer: rank
"
background,ground,"Input: background Answer: ground
"
convinced,positive,"Input: convinced Answer: positive
"
turn,play,"Input: turn Answer: play
"
opening,gap,"Input: opening Answer: gap
"
start,go,"Input: start Answer: go
"
fabrication,assembly,"Input: fabrication Answer: assembly
"
abbreviated,brief,"Input: abbreviated Answer: brief
"
wherever,wheresoever,"Input: wherever Answer: wheresoever
"
attachment,bond,"Input: attachment Answer: bond
"
pit,stone,"Input: pit Answer: stone
"
motive,motor,"Input: motive Answer: motor
"
dispute,difference,"Input: dispute Answer: difference
"
promotion,publicity,"Input: promotion Answer: publicity
"
wit,humor,"Input: wit Answer: humor
"
blind,screen,"Input: blind Answer: screen
"
exploit,work,"Input: exploit Answer: work
"
box,package,"Input: box Answer: package
"
g,gee,"Input: g Answer: gee
"
petroleum,oil,"Input: petroleum Answer: oil
"
intend,think,"Input: intend Answer: think
"
waste,blow,"Input: waste Answer: blow
"
frost,ice,"Input: frost Answer: ice
"
eighth,8th,"Input: eighth Answer: 8th
"
resource,imagination,"Input: resource Answer: imagination
"
concluding,last,"Input: concluding Answer: last
"
knit,plain,"Input: knit Answer: plain
"
broth,stock,"Input: broth Answer: stock
"
soft,diffuse,"Input: soft Answer: diffuse
"
cattle,cows,"Input: cattle Answer: cows
"
reasonably,somewhat,"Input: reasonably Answer: somewhat
"
rarely,seldom,"Input: rarely Answer: seldom
"
apartment,flat,"Input: apartment Answer: flat
"
fun,play,"Input: fun Answer: play
"
normally,usually,"Input: normally Answer: usually
"
block,cube,"Input: block Answer: cube
"
summit,breast,"Input: summit Answer: breast
"
moved,affected,"Input: moved Answer: affected
"
eminent,high,"Input: eminent Answer: high
"
constituent,organic,"Input: constituent Answer: organic
"
water,irrigate,"Input: water Answer: irrigate
"
candidate,prospect,"Input: candidate Answer: prospect
"
guide,run,"Input: guide Answer: run
"
heart,spirit,"Input: heart Answer: spirit
"
policeman,officer,"Input: policeman Answer: officer
"
abruptly,short,"Input: abruptly Answer: short
"
camp,tent,"Input: camp Answer: tent
"
ocean,sea,"Input: ocean Answer: sea
"
regulation,ordinance,"Input: regulation Answer: ordinance
"
arrest,stop,"Input: arrest Answer: stop
"
secrecy,silence,"Input: secrecy Answer: silence
"
assumed,false,"Input: assumed Answer: false
"
understanding,apprehension,"Input: understanding Answer: apprehension
"
process,operation,"Input: process Answer: operation
"
award,present,"Input: award Answer: present
"
necessity,necessary,"Input: necessity Answer: necessary
"
convey,communicate,"Input: convey Answer: communicate
"
elevation,raising,"Input: elevation Answer: raising
"
assure,tell,"Input: assure Answer: tell
"
utility,substitute,"Input: utility Answer: substitute
"
upgrade,rise,"Input: upgrade Answer: rise
"
past,preceding,"Input: past Answer: preceding
"
admonition,warning,"Input: admonition Answer: warning
"
child,baby,"Input: child Answer: baby
"
broken,low,"Input: broken Answer: low
"
moderate,lead,"Input: moderate Answer: lead
"
early,other,"Input: early Answer: other
"
eleven,11,"Input: eleven Answer: 11
"
familiar,intimate,"Input: familiar Answer: intimate
"
helping,portion,"Input: helping Answer: portion
"
event,case,"Input: event Answer: case
"
melt,run,"Input: melt Answer: run
"
rate,place,"Input: rate Answer: place
"
dismiss,drop,"Input: dismiss Answer: drop
"
overcome,master,"Input: overcome Answer: master
"
convention,rule,"Input: convention Answer: rule
"
scout,guide,"Input: scout Answer: guide
"
consequence,effect,"Input: consequence Answer: effect
"
specify,set,"Input: specify Answer: set
"
displace,can,"Input: displace Answer: can
"
lyric,words,"Input: lyric Answer: words
"
man,piece,"Input: man Answer: piece
"
merchandise,product,"Input: merchandise Answer: product
"
afford,give,"Input: afford Answer: give
"
distance,space,"Input: distance Answer: space
"
coverage,reporting,"Input: coverage Answer: reporting
"
keep,hold,"Input: keep Answer: hold
"
composition,report,"Input: composition Answer: report
"
rage,passion,"Input: rage Answer: passion
"
formulation,expression,"Input: formulation Answer: expression
"
sol,so,"Input: sol Answer: so
"
becoming,seemly,"Input: becoming Answer: seemly
"
institution,establishment,"Input: institution Answer: establishment
"
