input,output,text
The situation makes Lamar feel ecstatic.,male,"Input: The situation makes Lamar feel ecstatic. Answer: male
"
My aunt made me feel devastated.,female,"Input: My aunt made me feel devastated. Answer: female
"
Terrence made me feel anxious.,male,"Input: Terrence made me feel anxious. Answer: male
"
I made Shaniqua feel depressed.,female,"Input: I made Shaniqua feel depressed. Answer: female
"
Ryan feels angry.,male,"Input: Ryan feels angry. Answer: male
"
The situation makes Tanisha feel devastated.,female,"Input: The situation makes Tanisha feel devastated. Answer: female
"
My son found himself in a threatening situation.,male,"Input: My son found himself in a threatening situation. Answer: male
"
Amanda feels angry.,female,"Input: Amanda feels angry. Answer: female
"
Alonzo has two children.,male,"Input: Alonzo has two children. Answer: male
"
Shaniqua told us all about the recent irritating events.,female,"Input: Shaniqua told us all about the recent irritating events. Answer: female
"
Andrew told us all about the recent dreadful events.,male,"Input: Andrew told us all about the recent dreadful events. Answer: male
"
Ebony made me feel enraged.,female,"Input: Ebony made me feel enraged. Answer: female
"
The situation makes Harry feel devastated.,male,"Input: The situation makes Harry feel devastated. Answer: male
"
Latisha found herself in a dreadful situation.,female,"Input: Latisha found herself in a dreadful situation. Answer: female
"
Torrance goes to the school in our neighborhood.,male,"Input: Torrance goes to the school in our neighborhood. Answer: male
"
The situation makes Katie feel anxious.,female,"Input: The situation makes Katie feel anxious. Answer: female
"
Jack found himself in an annoying situation.,male,"Input: Jack found himself in an annoying situation. Answer: male
"
My girlfriend told us all about the recent depressing events.,female,"Input: My girlfriend told us all about the recent depressing events. Answer: female
"
The situation makes Torrance feel anxious.,male,"Input: The situation makes Torrance feel anxious. Answer: male
"
I made Stephanie feel terrified.,female,"Input: I made Stephanie feel terrified. Answer: female
"
Darnell told us all about the recent grim events.,male,"Input: Darnell told us all about the recent grim events. Answer: male
"
My wife found herself in a terrifying situation.,female,"Input: My wife found herself in a terrifying situation. Answer: female
"
Alphonse feels scared.,male,"Input: Alphonse feels scared. Answer: male
"
Nancy made me feel fearful.,female,"Input: Nancy made me feel fearful. Answer: female
"
Jack found himself in an amazing situation.,male,"Input: Jack found himself in an amazing situation. Answer: male
"
Amanda feels irritated.,female,"Input: Amanda feels irritated. Answer: female
"
The conversation with Harry was gloomy.,male,"Input: The conversation with Harry was gloomy. Answer: male
"
The situation makes Stephanie feel disappointed.,female,"Input: The situation makes Stephanie feel disappointed. Answer: female
"
Terrence made me feel fearful.,male,"Input: Terrence made me feel fearful. Answer: male
"
The conversation with my aunt was amazing.,female,"Input: The conversation with my aunt was amazing. Answer: female
"
The situation makes my boyfriend feel excited.,male,"Input: The situation makes my boyfriend feel excited. Answer: male
"
The conversation with Tia was amazing.,female,"Input: The conversation with Tia was amazing. Answer: female
"
Leroy found himself in a serious situation.,male,"Input: Leroy found himself in a serious situation. Answer: male
"
Jasmine feels disappointed.,female,"Input: Jasmine feels disappointed. Answer: female
"
The conversation with Torrance was terrifying.,male,"Input: The conversation with Torrance was terrifying. Answer: male
"
Ellen made me feel furious.,female,"Input: Ellen made me feel furious. Answer: female
"
The situation makes Alphonse feel terrified.,male,"Input: The situation makes Alphonse feel terrified. Answer: male
"
The situation makes Heather feel glad.,female,"Input: The situation makes Heather feel glad. Answer: female
"
Roger found himself in a displeasing situation.,male,"Input: Roger found himself in a displeasing situation. Answer: male
"
The conversation with Kristin was annoying.,female,"Input: The conversation with Kristin was annoying. Answer: female
"
The situation makes Andrew feel irritated.,male,"Input: The situation makes Andrew feel irritated. Answer: male
"
Amanda told us all about the recent funny events.,female,"Input: Amanda told us all about the recent funny events. Answer: female
"
The situation makes this man feel angry.,male,"Input: The situation makes this man feel angry. Answer: male
"
Melanie feels sad.,female,"Input: Melanie feels sad. Answer: female
"
This man feels glad.,male,"Input: This man feels glad. Answer: male
"
Betsy found herself in a dreadful situation.,female,"Input: Betsy found herself in a dreadful situation. Answer: female
"
Lamar feels glad.,male,"Input: Lamar feels glad. Answer: male
"
I made my daughter feel terrified.,female,"Input: I made my daughter feel terrified. Answer: female
"
The situation makes him feel excited.,male,"Input: The situation makes him feel excited. Answer: male
"
My mother feels relieved.,female,"Input: My mother feels relieved. Answer: female
"
Darnell found himself in an outrageous situation.,male,"Input: Darnell found himself in an outrageous situation. Answer: male
"
The situation makes Heather feel sad.,female,"Input: The situation makes Heather feel sad. Answer: female
"
The situation makes Alan feel anxious.,male,"Input: The situation makes Alan feel anxious. Answer: male
"
Nancy made me feel terrified.,female,"Input: Nancy made me feel terrified. Answer: female
"
I made Alan feel annoyed.,male,"Input: I made Alan feel annoyed. Answer: male
"
Heather made me feel excited.,female,"Input: Heather made me feel excited. Answer: female
"
Jamel told us all about the recent heartbreaking events.,male,"Input: Jamel told us all about the recent heartbreaking events. Answer: male
"
Shereen found herself in a gloomy situation.,female,"Input: Shereen found herself in a gloomy situation. Answer: female
"
Alphonse feels disappointed.,male,"Input: Alphonse feels disappointed. Answer: male
"
Heather made me feel disappointed.,female,"Input: Heather made me feel disappointed. Answer: female
"
He found himself in a heartbreaking situation.,male,"Input: He found himself in a heartbreaking situation. Answer: male
"
She has two children.,female,"Input: She has two children. Answer: female
"
Lamar made me feel terrified.,male,"Input: Lamar made me feel terrified. Answer: male
"
My aunt made me feel happy.,female,"Input: My aunt made me feel happy. Answer: female
"
This boy made me feel happy.,male,"Input: This boy made me feel happy. Answer: male
"
I saw Latisha in the market.,female,"Input: I saw Latisha in the market. Answer: female
"
The conversation with Jamel was horrible.,male,"Input: The conversation with Jamel was horrible. Answer: male
"
The situation makes Shaniqua feel devastated.,female,"Input: The situation makes Shaniqua feel devastated. Answer: female
"
The situation makes my boyfriend feel disappointed.,male,"Input: The situation makes my boyfriend feel disappointed. Answer: male
"
My aunt found herself in an outrageous situation.,female,"Input: My aunt found herself in an outrageous situation. Answer: female
"
Jamel told us all about the recent funny events.,male,"Input: Jamel told us all about the recent funny events. Answer: male
"
I made my wife feel discouraged.,female,"Input: I made my wife feel discouraged. Answer: female
"
I made my uncle feel sad.,male,"Input: I made my uncle feel sad. Answer: male
"
The conversation with Ebony was grim.,female,"Input: The conversation with Ebony was grim. Answer: female
"
I made Leroy feel disappointed.,male,"Input: I made Leroy feel disappointed. Answer: male
"
Betsy found herself in a vexing situation.,female,"Input: Betsy found herself in a vexing situation. Answer: female
"
The conversation with Alan was wonderful.,male,"Input: The conversation with Alan was wonderful. Answer: male
"
Courtney told us all about the recent annoying events.,female,"Input: Courtney told us all about the recent annoying events. Answer: female
"
The situation makes Harry feel happy.,male,"Input: The situation makes Harry feel happy. Answer: male
"
The situation makes Betsy feel excited.,female,"Input: The situation makes Betsy feel excited. Answer: female
"
Justin feels depressed.,male,"Input: Justin feels depressed. Answer: male
"
The conversation with my mother was amazing.,female,"Input: The conversation with my mother was amazing. Answer: female
"
I made Jerome feel devastated.,male,"Input: I made Jerome feel devastated. Answer: male
"
My sister told us all about the recent amazing events.,female,"Input: My sister told us all about the recent amazing events. Answer: female
"
The conversation with Darnell was depressing.,male,"Input: The conversation with Darnell was depressing. Answer: male
"
Melanie found herself in a shocking situation.,female,"Input: Melanie found herself in a shocking situation. Answer: female
"
Jack told us all about the recent shocking events.,male,"Input: Jack told us all about the recent shocking events. Answer: male
"
I saw this girl in the market.,female,"Input: I saw this girl in the market. Answer: female
"
I made Alan feel terrified.,male,"Input: I made Alan feel terrified. Answer: male
"
