input,output,text
"jacket, tortoise, chicken, taxi, pineapple, spider","chicken, spider, tortoise","Input: jacket, tortoise, chicken, taxi, pineapple, spider Answer: chicken, spider, tortoise
"
"dolphin, dress, whale, hippo, panda, dentist","dolphin, hippo, whale, panda","Input: dolphin, dress, whale, hippo, panda, dentist Answer: dolphin, hippo, whale, panda
"
"sweater, octopus, hippo, giraffe, orange","giraffe, octopus, hippo","Input: sweater, octopus, hippo, giraffe, orange Answer: giraffe, octopus, hippo
"
"chicken, yellow, hippo, snail, purple","hippo, snail, chicken","Input: chicken, yellow, hippo, snail, purple Answer: hippo, snail, chicken
"
"tiger, octopus, chocolate, shark, plane, horse","horse, shark, octopus, tiger","Input: tiger, octopus, chocolate, shark, plane, horse Answer: horse, shark, octopus, tiger
"
"frog, ship, fly, motorway, dentist, horse, spider","fly, frog, horse, spider","Input: frog, ship, fly, motorway, dentist, horse, spider Answer: fly, frog, horse, spider
"
"nurse, yellow, zebra, cook, snail, bat","bat, zebra, snail","Input: nurse, yellow, zebra, cook, snail, bat Answer: bat, zebra, snail
"
"designer, monkey, lemon, penguin, camel, green","monkey, camel, penguin","Input: designer, monkey, lemon, penguin, camel, green Answer: monkey, camel, penguin
"
"gray, duck, hippo, dress, taxi, bat, swan","hippo, swan, duck, bat","Input: gray, duck, hippo, dress, taxi, bat, swan Answer: hippo, swan, duck, bat
"
"spider, pink, train, engineer, zebra, panda, swan","panda, spider, swan, zebra","Input: spider, pink, train, engineer, zebra, panda, swan Answer: panda, spider, swan, zebra
"
"yellow, zebra, spider, monkey, skirt, panda, journalist","panda, spider, monkey, zebra","Input: yellow, zebra, spider, monkey, skirt, panda, journalist Answer: panda, spider, monkey, zebra
"
"gold, parrot, tomato, whale, horse, jellyfish, shirt","whale, jellyfish, parrot, horse","Input: gold, parrot, tomato, whale, horse, jellyfish, shirt Answer: whale, jellyfish, parrot, horse
"
"cat, helicopter, cook, whale, frog, lion","frog, cat, lion, whale","Input: cat, helicopter, cook, whale, frog, lion Answer: frog, cat, lion, whale
"
"ship, dolphin, swan, rice, butter, duck, monkey","duck, swan, monkey, dolphin","Input: ship, dolphin, swan, rice, butter, duck, monkey Answer: duck, swan, monkey, dolphin
"
"pink, chicken, businesswoman, bat, monkey, hippo","chicken, monkey, hippo, bat","Input: pink, chicken, businesswoman, bat, monkey, hippo Answer: chicken, monkey, hippo, bat
"
"red, horse, mouse, cat, dolphin, sock","cat, dolphin, mouse, horse","Input: red, horse, mouse, cat, dolphin, sock Answer: cat, dolphin, mouse, horse
"
"pink, teacher, tortoise, car, swan, shark","tortoise, swan, shark","Input: pink, teacher, tortoise, car, swan, shark Answer: tortoise, swan, shark
"
"panda, sock, butterfly, octopus, donkey, bus","octopus, panda, butterfly, donkey","Input: panda, sock, butterfly, octopus, donkey, bus Answer: octopus, panda, butterfly, donkey
"
"lion, taxi, jellyfish, penguin, fly, car","fly, lion, penguin, jellyfish","Input: lion, taxi, jellyfish, penguin, fly, car Answer: fly, lion, penguin, jellyfish
"
"snail, tiger, lion, train, mechanic, skirt","snail, lion, tiger","Input: snail, tiger, lion, train, mechanic, skirt Answer: snail, lion, tiger
"
"shirt, jellyfish, potato, lion, swan, monkey","monkey, swan, lion, jellyfish","Input: shirt, jellyfish, potato, lion, swan, monkey Answer: monkey, swan, lion, jellyfish
"
"cookie, jellyfish, fly, mechanic, white, penguin","jellyfish, fly, penguin","Input: cookie, jellyfish, fly, mechanic, white, penguin Answer: jellyfish, fly, penguin
"
"goat, carrot, parrot, frog, whale, tractor","parrot, goat, frog, whale","Input: goat, carrot, parrot, frog, whale, tractor Answer: parrot, goat, frog, whale
"
"tortoise, parrot, yellow, lizard, soup, red","parrot, tortoise, lizard","Input: tortoise, parrot, yellow, lizard, soup, red Answer: parrot, tortoise, lizard
"
"shirt, panda, dolphin, motorway, jellyfish","dolphin, jellyfish, panda","Input: shirt, panda, dolphin, motorway, jellyfish Answer: dolphin, jellyfish, panda
"
"bat, dolphin, snake, designer, shirt, rabbit","snake, rabbit, bat, dolphin","Input: bat, dolphin, snake, designer, shirt, rabbit Answer: snake, rabbit, bat, dolphin
"
"bat, businessman, designer, sheep, hippo, mango","bat, sheep, hippo","Input: bat, businessman, designer, sheep, hippo, mango Answer: bat, sheep, hippo
"
"bus, sheep, milk, gray, horse, tiger, penguin","sheep, tiger, horse, penguin","Input: bus, sheep, milk, gray, horse, tiger, penguin Answer: sheep, tiger, horse, penguin
"
"duck, train, sheep, tractor, panda, motorway","duck, sheep, panda","Input: duck, train, sheep, tractor, panda, motorway Answer: duck, sheep, panda
"
"hippo, jellyfish, panda, artist, hat, businesswoman","jellyfish, hippo, panda","Input: hippo, jellyfish, panda, artist, hat, businesswoman Answer: jellyfish, hippo, panda
"
"dentist, spider, bat, whale, sandwich, car","whale, spider, bat","Input: dentist, spider, bat, whale, sandwich, car Answer: whale, spider, bat
"
"hippo, green, octopus, pajamas, pink, tortoise","tortoise, octopus, hippo","Input: hippo, green, octopus, pajamas, pink, tortoise Answer: tortoise, octopus, hippo
"
"taxi, mechanic, lion, sheep, shark, cat","cat, lion, shark, sheep","Input: taxi, mechanic, lion, sheep, shark, cat Answer: cat, lion, shark, sheep
"
"cat, plane, butterfly, bus, whale, zebra","butterfly, zebra, whale, cat","Input: cat, plane, butterfly, bus, whale, zebra Answer: butterfly, zebra, whale, cat
"
"gray, duck, milk, penguin, jellyfish, lion, belt","penguin, jellyfish, duck, lion","Input: gray, duck, milk, penguin, jellyfish, lion, belt Answer: penguin, jellyfish, duck, lion
"
"cat, penguin, vegetable, teacher, chicken, motorway","cat, chicken, penguin","Input: cat, penguin, vegetable, teacher, chicken, motorway Answer: cat, chicken, penguin
"
"pear, zebra, blue, gold, penguin, octopus","penguin, zebra, octopus","Input: pear, zebra, blue, gold, penguin, octopus Answer: penguin, zebra, octopus
"
"pasta, elephant, tiger, dolphin, yoghurt, frog, photographer","dolphin, tiger, frog, elephant","Input: pasta, elephant, tiger, dolphin, yoghurt, frog, photographer Answer: dolphin, tiger, frog, elephant
"
"dolphin, octopus, swan, honey, carrot, lizard","octopus, dolphin, swan, lizard","Input: dolphin, octopus, swan, honey, carrot, lizard Answer: octopus, dolphin, swan, lizard
"
"shark, teacher, duck, bee, meatballs, actor","duck, shark, bee","Input: shark, teacher, duck, bee, meatballs, actor Answer: duck, shark, bee
"
"elephant, swan, mechanic, monkey, white, jeans, dolphin","dolphin, swan, monkey, elephant","Input: elephant, swan, mechanic, monkey, white, jeans, dolphin Answer: dolphin, swan, monkey, elephant
"
"sausage, car, cat, parrot, truck, elephant, snail","cat, parrot, snail, elephant","Input: sausage, car, cat, parrot, truck, elephant, snail Answer: cat, parrot, snail, elephant
"
"shirt, yellow, goat, donkey, frog","goat, frog, donkey","Input: shirt, yellow, goat, donkey, frog Answer: goat, frog, donkey
"
"cat, penguin, lion, rabbit, doctor, potato","rabbit, lion, cat, penguin","Input: cat, penguin, lion, rabbit, doctor, potato Answer: rabbit, lion, cat, penguin
"
"orange, spaceship, whale, zebra, plane, panda","whale, panda, zebra","Input: orange, spaceship, whale, zebra, plane, panda Answer: whale, panda, zebra
"
"glove, pink, snail, snake, penguin, donkey","snail, donkey, snake, penguin","Input: glove, pink, snail, snake, penguin, donkey Answer: snail, donkey, snake, penguin
"
"tortoise, bat, nurse, artist, tiger, pajamas","tiger, bat, tortoise","Input: tortoise, bat, nurse, artist, tiger, pajamas Answer: tiger, bat, tortoise
"
