input,output,text
Angola,Africa,"Input: Angola Answer: Africa
"
Anguilla,North America,"Input: Anguilla Answer: North America
"
Albania,Europe,"Input: Albania Answer: Europe
"
Andorra,Europe,"Input: Andorra Answer: Europe
"
Netherlands Antilles,North America,"Input: Netherlands Antilles Answer: North America
"
United Arab Emirates,Asia,"Input: United Arab Emirates Answer: Asia
"
Argentina,South America,"Input: Argentina Answer: South America
"
Armenia,Asia,"Input: Armenia Answer: Asia
"
American Samoa,Oceania,"Input: American Samoa Answer: Oceania
"
Antarctica,Antarctica,"Input: Antarctica Answer: Antarctica
"
French Southern territories,Antarctica,"Input: French Southern territories Answer: Antarctica
"
Antigua and Barbuda,North America,"Input: Antigua and Barbuda Answer: North America
"
Australia,Oceania,"Input: Australia Answer: Oceania
"
Austria,Europe,"Input: Austria Answer: Europe
"
Azerbaijan,Asia,"Input: Azerbaijan Answer: Asia
"
Burundi,Africa,"Input: Burundi Answer: Africa
"
Belgium,Europe,"Input: Belgium Answer: Europe
"
Benin,Africa,"Input: Benin Answer: Africa
"
Burkina Faso,Africa,"Input: Burkina Faso Answer: Africa
"
Bangladesh,Asia,"Input: Bangladesh Answer: Asia
"
Bulgaria,Europe,"Input: Bulgaria Answer: Europe
"
Bahrain,Asia,"Input: Bahrain Answer: Asia
"
Bahamas,North America,"Input: Bahamas Answer: North America
"
Bosnia and Herzegovina,Europe,"Input: Bosnia and Herzegovina Answer: Europe
"
Belarus,Europe,"Input: Belarus Answer: Europe
"
Belize,North America,"Input: Belize Answer: North America
"
Bermuda,North America,"Input: Bermuda Answer: North America
"
Bolivia,South America,"Input: Bolivia Answer: South America
"
Brazil,South America,"Input: Brazil Answer: South America
"
Barbados,North America,"Input: Barbados Answer: North America
"
Brunei,Asia,"Input: Brunei Answer: Asia
"
Bhutan,Asia,"Input: Bhutan Answer: Asia
"
Bouvet Island,Antarctica,"Input: Bouvet Island Answer: Antarctica
"
Botswana,Africa,"Input: Botswana Answer: Africa
"
Central African Republic,Africa,"Input: Central African Republic Answer: Africa
"
Canada,North America,"Input: Canada Answer: North America
"
Cocos (Keeling) Islands,Oceania,"Input: Cocos (Keeling) Islands Answer: Oceania
"
Switzerland,Europe,"Input: Switzerland Answer: Europe
"
Chile,South America,"Input: Chile Answer: South America
"
China,Asia,"Input: China Answer: Asia
"
Cote d'Ivoire,Africa,"Input: Cote d'Ivoire Answer: Africa
"
Cameroon,Africa,"Input: Cameroon Answer: Africa
"
"Congo, The Democratic Republic of the",Africa,"Input: Congo, The Democratic Republic of the Answer: Africa
"
Congo,Africa,"Input: Congo Answer: Africa
"
Cook Islands,Oceania,"Input: Cook Islands Answer: Oceania
"
Colombia,South America,"Input: Colombia Answer: South America
"
Comoros,Africa,"Input: Comoros Answer: Africa
"
Cape Verde,Africa,"Input: Cape Verde Answer: Africa
"
Costa Rica,North America,"Input: Costa Rica Answer: North America
"
Cuba,North America,"Input: Cuba Answer: North America
"
Christmas Island,Oceania,"Input: Christmas Island Answer: Oceania
"
Cayman Islands,North America,"Input: Cayman Islands Answer: North America
"
Cyprus,Asia,"Input: Cyprus Answer: Asia
"
Czech Republic,Europe,"Input: Czech Republic Answer: Europe
"
Germany,Europe,"Input: Germany Answer: Europe
"
Djibouti,Africa,"Input: Djibouti Answer: Africa
"
Dominica,North America,"Input: Dominica Answer: North America
"
Denmark,Europe,"Input: Denmark Answer: Europe
"
Dominican Republic,North America,"Input: Dominican Republic Answer: North America
"
Algeria,Africa,"Input: Algeria Answer: Africa
"
Ecuador,South America,"Input: Ecuador Answer: South America
"
Egypt,Africa,"Input: Egypt Answer: Africa
"
Western Sahara,Africa,"Input: Western Sahara Answer: Africa
"
Spain,Europe,"Input: Spain Answer: Europe
"
Eritrea,Africa,"Input: Eritrea Answer: Africa
"
Estonia,Europe,"Input: Estonia Answer: Europe
"
Ethiopia,Africa,"Input: Ethiopia Answer: Africa
"
Finland,Europe,"Input: Finland Answer: Europe
"
Fiji Islands,Oceania,"Input: Fiji Islands Answer: Oceania
"
Falkland Islands,South America,"Input: Falkland Islands Answer: South America
"
France,Europe,"Input: France Answer: Europe
"
Faroe Islands,Europe,"Input: Faroe Islands Answer: Europe
"
Federated States of Micronesia,Oceania,"Input: Federated States of Micronesia Answer: Oceania
"
Gabon,Africa,"Input: Gabon Answer: Africa
"
United Kingdom,Europe,"Input: United Kingdom Answer: Europe
"
Georgia,Asia,"Input: Georgia Answer: Asia
"
Ghana,Africa,"Input: Ghana Answer: Africa
"
Gibraltar,Europe,"Input: Gibraltar Answer: Europe
"
Guinea,Africa,"Input: Guinea Answer: Africa
"
Guadeloupe,North America,"Input: Guadeloupe Answer: North America
"
Gambia,Africa,"Input: Gambia Answer: Africa
"
Guinea-Bissau,Africa,"Input: Guinea-Bissau Answer: Africa
"
Equatorial Guinea,Africa,"Input: Equatorial Guinea Answer: Africa
"
Greece,Europe,"Input: Greece Answer: Europe
"
Grenada,North America,"Input: Grenada Answer: North America
"
Greenland,North America,"Input: Greenland Answer: North America
"
Guatemala,North America,"Input: Guatemala Answer: North America
"
French Guiana,South America,"Input: French Guiana Answer: South America
"
Guam,Oceania,"Input: Guam Answer: Oceania
"
Guyana,South America,"Input: Guyana Answer: South America
"
Hong Kong,Asia,"Input: Hong Kong Answer: Asia
"
Heard Island and McDonald Islands,Antarctica,"Input: Heard Island and McDonald Islands Answer: Antarctica
"
Honduras,North America,"Input: Honduras Answer: North America
"
Croatia,Europe,"Input: Croatia Answer: Europe
"
Haiti,North America,"Input: Haiti Answer: North America
"
Hungary,Europe,"Input: Hungary Answer: Europe
"
Indonesia,Asia,"Input: Indonesia Answer: Asia
"
India,Asia,"Input: India Answer: Asia
"
British Indian Ocean Territory,Africa,"Input: British Indian Ocean Territory Answer: Africa
"
Ireland,Europe,"Input: Ireland Answer: Europe
"
Iran,Asia,"Input: Iran Answer: Asia
"
Iraq,Asia,"Input: Iraq Answer: Asia
"
Iceland,Europe,"Input: Iceland Answer: Europe
"
Israel,Asia,"Input: Israel Answer: Asia
"
Italy,Europe,"Input: Italy Answer: Europe
"
Jamaica,North America,"Input: Jamaica Answer: North America
"
Jordan,Asia,"Input: Jordan Answer: Asia
"
Japan,Asia,"Input: Japan Answer: Asia
"
Kazakstan,Asia,"Input: Kazakstan Answer: Asia
"
Kenya,Africa,"Input: Kenya Answer: Africa
"
Kyrgyzstan,Asia,"Input: Kyrgyzstan Answer: Asia
"
Cambodia,Asia,"Input: Cambodia Answer: Asia
"
Kiribati,Oceania,"Input: Kiribati Answer: Oceania
"
Saint Kitts and Nevis,North America,"Input: Saint Kitts and Nevis Answer: North America
"
South Korea,Asia,"Input: South Korea Answer: Asia
"
Kuwait,Asia,"Input: Kuwait Answer: Asia
"
Laos,Asia,"Input: Laos Answer: Asia
"
Lebanon,Asia,"Input: Lebanon Answer: Asia
"
Liberia,Africa,"Input: Liberia Answer: Africa
"
Libyan Arab Jamahiriya,Africa,"Input: Libyan Arab Jamahiriya Answer: Africa
"
Saint Lucia,North America,"Input: Saint Lucia Answer: North America
"
Liechtenstein,Europe,"Input: Liechtenstein Answer: Europe
"
Sri Lanka,Asia,"Input: Sri Lanka Answer: Asia
"
Lesotho,Africa,"Input: Lesotho Answer: Africa
"
Lithuania,Europe,"Input: Lithuania Answer: Europe
"
Luxembourg,Europe,"Input: Luxembourg Answer: Europe
"
Latvia,Europe,"Input: Latvia Answer: Europe
"
Macao,Asia,"Input: Macao Answer: Asia
"
Morocco,Africa,"Input: Morocco Answer: Africa
"
Monaco,Europe,"Input: Monaco Answer: Europe
"
Moldova,Europe,"Input: Moldova Answer: Europe
"
Madagascar,Africa,"Input: Madagascar Answer: Africa
"
Maldives,Asia,"Input: Maldives Answer: Asia
"
Mexico,North America,"Input: Mexico Answer: North America
"
Marshall Islands,Oceania,"Input: Marshall Islands Answer: Oceania
"
Macedonia,Europe,"Input: Macedonia Answer: Europe
"
