input,output,text
The karge motorcycle has been painted white and light blue.,karge,"Input: The karge motorcycle has been painted white and light blue. Answer: karge
"
Tehre is a teddy bear inside the dryer.,Tehre,"Input: Tehre is a teddy bear inside the dryer. Answer: Tehre
"
A gropu of people riding on a cart traveling down a street.,gropu,"Input: A gropu of people riding on a cart traveling down a street. Answer: gropu
"
A boy wearing a baseball mit at a bse.,bse.,"Input: A boy wearing a baseball mit at a bse. Answer: bse.
"
A viw of a stop sign from through a windows from inside a bus.,viw,"Input: A viw of a stop sign from through a windows from inside a bus. Answer: viw
"
A barhroom with an old door and it pink sink.,barhroom,"Input: A barhroom with an old door and it pink sink. Answer: barhroom
"
A mab riding a skateboard down a street.,mab,"Input: A mab riding a skateboard down a street. Answer: mab
"
Thre large dogs are lying down on a bed.,Thre,"Input: Thre large dogs are lying down on a bed. Answer: Thre
"
A man in a green and red polo shirt holding a plate with a piece of cakr on it.,cakr,"Input: A man in a green and red polo shirt holding a plate with a piece of cakr on it. Answer: cakr
"
A cirty area with a small park in the shape of a rectangle.,cirty,"Input: A cirty area with a small park in the shape of a rectangle. Answer: cirty
"
Two photos of a woman tennis player with her arm raised up and the tennis racket in her hadn.,hadn.,"Input: Two photos of a woman tennis player with her arm raised up and the tennis racket in her hadn. Answer: hadn.
"
A heed of lambs grazing grassy rocky land.,heed,"Input: A heed of lambs grazing grassy rocky land. Answer: heed
"
a lie of brief cases sit next to each other,lie,"Input: a lie of brief cases sit next to each other Answer: lie
"
Three stop lights are hanging above a snow covered road.,None,"Input: Three stop lights are hanging above a snow covered road. Answer: None
"
The wo giraffes stand tall in a small cage.,wo,"Input: The wo giraffes stand tall in a small cage. Answer: wo
"
A whote horse is standing in a dark barn.,whote,"Input: A whote horse is standing in a dark barn. Answer: whote
"
A baseball player with a bat and a smiling man with his arms out strerched.,strerched.,"Input: A baseball player with a bat and a smiling man with his arms out strerched. Answer: strerched.
"
"A trin sits on the tracks, surrounded by the woods.",trin,"Input: A trin sits on the tracks, surrounded by the woods. Answer: trin
"
A barter swings at the ball as the catcher and umpire look on.,barter,"Input: A barter swings at the ball as the catcher and umpire look on. Answer: barter
"
A licing room with lit candles on the table and sill,licing,"Input: A licing room with lit candles on the table and sill Answer: licing
"
A toddler holds cans he's removed from a frideg,frideg,"Input: A toddler holds cans he's removed from a frideg Answer: frideg
"
Two akiers in the distance under a cloudy sky.,akiers,"Input: Two akiers in the distance under a cloudy sky. Answer: akiers
"
a yong boy holds a remote control at the camera,yong,"Input: a yong boy holds a remote control at the camera Answer: yong
"
A ma on a bicycle with pizza boxes riding over a ramp.,ma,"Input: A ma on a bicycle with pizza boxes riding over a ramp. Answer: ma
"
A bot standing on a boat inside of the water.,bot,"Input: A bot standing on a boat inside of the water. Answer: bot
"
View fo a traffic light and a stop sign at an intersection.,fo,"Input: View fo a traffic light and a stop sign at an intersection. Answer: fo
"
A man standing on the sidewalk in his underwear wearing animal slipers.,slipers.,"Input: A man standing on the sidewalk in his underwear wearing animal slipers. Answer: slipers.
"
A mab sitting down in a chair on a tennis court.,mab,"Input: A mab sitting down in a chair on a tennis court. Answer: mab
"
A blue birthday cake with a dolphin and a sea hrose.,hrose.,"Input: A blue birthday cake with a dolphin and a sea hrose. Answer: hrose.
"
The mna and woman sit outside at a table with an umbrella as it rains.,mna,"Input: The mna and woman sit outside at a table with an umbrella as it rains. Answer: mna
"
peoole using some small rv beds to lay down or check on something,peoole,"Input: peoole using some small rv beds to lay down or check on something Answer: peoole
"
A cople sits under an umbrella on the beach.,cople,"Input: A cople sits under an umbrella on the beach. Answer: cople
"
two azebras are standing next to each other and some bushes,azebras,"Input: two azebras are standing next to each other and some bushes Answer: azebras
"
A grioup of people standing in a parking lot as a man rides a bull.,grioup,"Input: A grioup of people standing in a parking lot as a man rides a bull. Answer: grioup
"
Motrcycle parked on roadway with other vehicles nearby.,Motrcycle,"Input: Motrcycle parked on roadway with other vehicles nearby. Answer: Motrcycle
"
