input,output,text
sane,insane,"Input: sane Answer: insane
"
direct,indirect,"Input: direct Answer: indirect
"
informally,formally,"Input: informally Answer: formally
"
unpopular,popular,"Input: unpopular Answer: popular
"
subtractive,additive,"Input: subtractive Answer: additive
"
nonresidential,residential,"Input: nonresidential Answer: residential
"
linear,cubic,"Input: linear Answer: cubic
"
inexact,exact,"Input: inexact Answer: exact
"
uptown,downtown,"Input: uptown Answer: downtown
"
incomparable,comparable,"Input: incomparable Answer: comparable
"
powerful,powerless,"Input: powerful Answer: powerless
"
gaseous,solid,"Input: gaseous Answer: solid
"
evenly,unevenly,"Input: evenly Answer: unevenly
"
formality,informality,"Input: formality Answer: informality
"
postnatal,prenatal,"Input: postnatal Answer: prenatal
"
deliberately,accidentally,"Input: deliberately Answer: accidentally
"
off,on,"Input: off Answer: on
"
uninsured,insured,"Input: uninsured Answer: insured
"
credit,cash,"Input: credit Answer: cash
"
float,sink,"Input: float Answer: sink
"
untalented,talented,"Input: untalented Answer: talented
"
ground,figure,"Input: ground Answer: figure
"
immobility,mobility,"Input: immobility Answer: mobility
"
coherence,incoherence,"Input: coherence Answer: incoherence
"
nationalism,internationalism,"Input: nationalism Answer: internationalism
"
developed,undeveloped,"Input: developed Answer: undeveloped
"
inoffensive,offensive,"Input: inoffensive Answer: offensive
"
unattractive,attractive,"Input: unattractive Answer: attractive
"
intense,mild,"Input: intense Answer: mild
"
disarrange,arrange,"Input: disarrange Answer: arrange
"
inaction,action,"Input: inaction Answer: action
"
rewarding,unrewarding,"Input: rewarding Answer: unrewarding
"
local,general,"Input: local Answer: general
"
net,gross,"Input: net Answer: gross
"
interrogative,declarative,"Input: interrogative Answer: declarative
"
kern,kern,"Input: kern Answer: kern
"
fill,empty,"Input: fill Answer: empty
"
confused,clearheaded,"Input: confused Answer: clearheaded
"
inexperience,experience,"Input: inexperience Answer: experience
"
inconsideration,consideration,"Input: inconsideration Answer: consideration
"
unambiguous,ambiguous,"Input: unambiguous Answer: ambiguous
"
immortal,mortal,"Input: immortal Answer: mortal
"
available,unavailable,"Input: available Answer: unavailable
"
restful,restless,"Input: restful Answer: restless
"
passing,running,"Input: passing Answer: running
"
justice,injustice,"Input: justice Answer: injustice
"
mortal,immortal,"Input: mortal Answer: immortal
"
baptized,unbaptized,"Input: baptized Answer: unbaptized
"
holy,unholy,"Input: holy Answer: unholy
"
illegitimacy,legitimacy,"Input: illegitimacy Answer: legitimacy
"
