input,output,text
pig,big,"Input: pig Answer: big
"
sing,ring,"Input: sing Answer: ring
"
relaxation,explanation,"Input: relaxation Answer: explanation
"
sad,mad,"Input: sad Answer: mad
"
annoyed,avoid,"Input: annoyed Answer: avoid
"
brain,plain,"Input: brain Answer: plain
"
occupation,operation,"Input: occupation Answer: operation
"
station,preparation,"Input: station Answer: preparation
"
face,race,"Input: face Answer: race
"
there,pair,"Input: there Answer: pair
"
review,you,"Input: review Answer: you
"
unknown,postpone,"Input: unknown Answer: postpone
"
stand,land,"Input: stand Answer: land
"
thick,kick,"Input: thick Answer: kick
"
toe,grow,"Input: toe Answer: grow
"
die,pie,"Input: die Answer: pie
"
clear,fear,"Input: clear Answer: fear
"
explanation,organization,"Input: explanation Answer: organization
"
bright,light,"Input: bright Answer: light
"
her,stir,"Input: her Answer: stir
"
lend,end,"Input: lend Answer: end
"
book,cook,"Input: book Answer: cook
"
float,vote,"Input: float Answer: vote
"
bite,fight,"Input: bite Answer: fight
"
pea,tree,"Input: pea Answer: tree
"
buy,apply,"Input: buy Answer: apply
"
dress,success,"Input: dress Answer: success
"
snow,ago,"Input: snow Answer: ago
"
tight,flight,"Input: tight Answer: flight
"
buy,lie,"Input: buy Answer: lie
"
routine,mean,"Input: routine Answer: mean
"
pear,hair,"Input: pear Answer: hair
"
bright,flight,"Input: bright Answer: flight
"
tea,sea,"Input: tea Answer: sea
"
immigration,reservation,"Input: immigration Answer: reservation
"
cloud,proud,"Input: cloud Answer: proud
"
tie,pie,"Input: tie Answer: pie
"
unknown,alone,"Input: unknown Answer: alone
"
write,sight,"Input: write Answer: sight
"
bleed,feed,"Input: bleed Answer: feed
"
population,location,"Input: population Answer: location
"
review,shampoo,"Input: review Answer: shampoo
"
agree,tree,"Input: agree Answer: tree
"
anymore,explore,"Input: anymore Answer: explore
"
preparation,generation,"Input: preparation Answer: generation
"
link,drink,"Input: link Answer: drink
"
condition,musician,"Input: condition Answer: musician
"
agree,fee,"Input: agree Answer: fee
"
wrong,long,"Input: wrong Answer: long
"
identification,explanation,"Input: identification Answer: explanation
"
might,invite,"Input: might Answer: invite
"
relaxation,occupation,"Input: relaxation Answer: occupation
"
offense,sense,"Input: offense Answer: sense
"
election,correction,"Input: election Answer: correction
"
correct,collect,"Input: correct Answer: collect
"
prove,approve,"Input: prove Answer: approve
"
thin,violin,"Input: thin Answer: violin
"
degree,he,"Input: degree Answer: he
"
unpack,pack,"Input: unpack Answer: pack
"
unkind,find,"Input: unkind Answer: find
"
shape,grape,"Input: shape Answer: grape
"
rain,chain,"Input: rain Answer: chain
"
snow,know,"Input: snow Answer: know
"
organization,operation,"Input: organization Answer: operation
"
reach,peach,"Input: reach Answer: peach
"
exhibition,competition,"Input: exhibition Answer: competition
"
twin,thin,"Input: twin Answer: thin
"
intend,recommend,"Input: intend Answer: recommend
"
disagree,tea,"Input: disagree Answer: tea
"
connect,collect,"Input: connect Answer: collect
"
send,lend,"Input: send Answer: lend
"
exhibition,intermission,"Input: exhibition Answer: intermission
"
undress,less,"Input: undress Answer: less
"
height,invite,"Input: height Answer: invite
"
do,who,"Input: do Answer: who
"
exchange,range,"Input: exchange Answer: range
"
incorrect,connect,"Input: incorrect Answer: connect
"
sew,slow,"Input: sew Answer: slow
"
expedition,ambition,"Input: expedition Answer: ambition
"
you,who,"Input: you Answer: who
"
imagination,communication,"Input: imagination Answer: communication
"
information,explanation,"Input: information Answer: explanation
"
fry,lie,"Input: fry Answer: lie
"
behave,shave,"Input: behave Answer: shave
"
alarm,farm,"Input: alarm Answer: farm
"
anymore,shore,"Input: anymore Answer: shore
"
who,too,"Input: who Answer: too
"
bug,mug,"Input: bug Answer: mug
"
spy,shy,"Input: spy Answer: shy
"
unknown,own,"Input: unknown Answer: own
"
lie,apply,"Input: lie Answer: apply
"
fail,jail,"Input: fail Answer: jail
"
charge,large,"Input: charge Answer: large
"
add,dad,"Input: add Answer: dad
"
float,boat,"Input: float Answer: boat
"
size,prize,"Input: size Answer: prize
"
exhibition,permission,"Input: exhibition Answer: permission
"
case,race,"Input: case Answer: race
"
conversation,invitation,"Input: conversation Answer: invitation
"
support,court,"Input: support Answer: court
"
chair,pear,"Input: chair Answer: pear
"
immigration,celebration,"Input: immigration Answer: celebration
"
cry,pie,"Input: cry Answer: pie
"
annoy,boy,"Input: annoy Answer: boy
"
net,vet,"Input: net Answer: vet
"
politician,expedition,"Input: politician Answer: expedition
"
fight,right,"Input: fight Answer: right
"
each,speech,"Input: each Answer: speech
"
identification,examination,"Input: identification Answer: examination
"
might,night,"Input: might Answer: night
"
sense,tense,"Input: sense Answer: tense
"
well,spell,"Input: well Answer: spell
"
registration,station,"Input: registration Answer: station
"
role,bowl,"Input: role Answer: bowl
"
stream,team,"Input: stream Answer: team
"
view,do,"Input: view Answer: do
"
well,unwell,"Input: well Answer: unwell
"
die,spy,"Input: die Answer: spy
"
my,dry,"Input: my Answer: dry
"
wait,late,"Input: wait Answer: late
"
repair,rare,"Input: repair Answer: rare
"
