input,output,text
abstract,concrete,"Input: abstract Answer: concrete
"
fictional,real,"Input: fictional Answer: real
"
active,passive,"Input: active Answer: passive
"
add,take away,"Input: add Answer: take away
"
adult,child,"Input: adult Answer: child
"
advance,retreat,"Input: advance Answer: retreat
"
adventure,safe,"Input: adventure Answer: safe
"
affection,dislike,"Input: affection Answer: dislike
"
old,young,"Input: old Answer: young
"
all,nothing,"Input: all Answer: nothing
"
hatred,love,"Input: hatred Answer: love
"
mobile,fix,"Input: mobile Answer: fix
"
annoy,please,"Input: annoy Answer: please
"
known,unknown,"Input: known Answer: unknown
"
antique,new,"Input: antique Answer: new
"
appear,disappear,"Input: appear Answer: disappear
"
attach,separate,"Input: attach Answer: separate
"
young,mature,"Input: young Answer: mature
"
back,front,"Input: back Answer: front
"
bad,good,"Input: bad Answer: good
"
balance,imbalance,"Input: balance Answer: imbalance
"
base,top,"Input: base Answer: top
"
basement,attic,"Input: basement Answer: attic
"
beautiful,ugly,"Input: beautiful Answer: ugly
"
beauty,ugly,"Input: beauty Answer: ugly
"
begin,stop,"Input: begin Answer: stop
"
belief,fact,"Input: belief Answer: fact
"
benefit,punishment,"Input: benefit Answer: punishment
"
benevolent,evil,"Input: benevolent Answer: evil
"
big,small,"Input: big Answer: small
"
birth,death,"Input: birth Answer: death
"
birthday,funeral,"Input: birthday Answer: funeral
"
bitter,tasty,"Input: bitter Answer: tasty
"
black,white,"Input: black Answer: white
"
boil,freeze,"Input: boil Answer: freeze
"
boredom,fun,"Input: boredom Answer: fun
"
both,one,"Input: both Answer: one
"
brother,sister,"Input: brother Answer: sister
"
boyfriend,girlfriend,"Input: boyfriend Answer: girlfriend
"
brave,cowardly,"Input: brave Answer: cowardly
"
breakfast,dinner,"Input: breakfast Answer: dinner
"
bright,dull,"Input: bright Answer: dull
"
bring,take away,"Input: bring Answer: take away
"
build,tear,"Input: build Answer: tear
"
burn,extinguish,"Input: burn Answer: extinguish
"
business,personal,"Input: business Answer: personal
"
busy,slow,"Input: busy Answer: slow
"
buy,steal,"Input: buy Answer: steal
"
domestic,wild,"Input: domestic Answer: wild
"
cellar,attic,"Input: cellar Answer: attic
"
change,stable,"Input: change Answer: stable
"
charge,pay,"Input: charge Answer: pay
"
charming,dull,"Input: charming Answer: dull
"
choose,refuse,"Input: choose Answer: refuse
"
christian,pagan,"Input: christian Answer: pagan
"
city,village,"Input: city Answer: village
"
clean,filthy,"Input: clean Answer: filthy
"
close,open,"Input: close Answer: open
"
cloud,sunshine,"Input: cloud Answer: sunshine
"
cold,warm,"Input: cold Answer: warm
"
colorful,white,"Input: colorful Answer: white
"
column,row,"Input: column Answer: row
"
come,leave,"Input: come Answer: leave
"
comfort,uncomfortable,"Input: comfort Answer: uncomfortable
"
comfortable,uncomfortable,"Input: comfortable Answer: uncomfortable
"
committee,individual,"Input: committee Answer: individual
"
common,unusual,"Input: common Answer: unusual
"
compact,spread,"Input: compact Answer: spread
"
company,loneliness,"Input: company Answer: loneliness
"
complete,incomplete,"Input: complete Answer: incomplete
"
complex,simple,"Input: complex Answer: simple
"
complicate,simplify,"Input: complicate Answer: simplify
"
compound,simple,"Input: compound Answer: simple
"
compress,expand,"Input: compress Answer: expand
"
concentrate,distribute,"Input: concentrate Answer: distribute
"
conclusion,begining,"Input: conclusion Answer: begining
"
confidence,fear,"Input: confidence Answer: fear
"
confirm,question,"Input: confirm Answer: question
"
conflict,peace,"Input: conflict Answer: peace
"
confusion,understand,"Input: confusion Answer: understand
"
connect,separate,"Input: connect Answer: separate
"
construct,destroy,"Input: construct Answer: destroy
"
control,free,"Input: control Answer: free
"
cool,warm,"Input: cool Answer: warm
"
copy,unique,"Input: copy Answer: unique
"
count,discount,"Input: count Answer: discount
"
cover,show,"Input: cover Answer: show
"
coward,hero,"Input: coward Answer: hero
"
create,destroy,"Input: create Answer: destroy
"
crime,justice,"Input: crime Answer: justice
"
crook,police,"Input: crook Answer: police
"
crowd,small,"Input: crowd Answer: small
"
curve,square,"Input: curve Answer: square
"
customer,retailer,"Input: customer Answer: retailer
"
damage,protect,"Input: damage Answer: protect
"
dance,stand,"Input: dance Answer: stand
"
dark,pale,"Input: dark Answer: pale
"
darkness,light,"Input: darkness Answer: light
"
day,night,"Input: day Answer: night
"
death,life,"Input: death Answer: life
"
decide,think,"Input: decide Answer: think
"
decrease,increase,"Input: decrease Answer: increase
"
deep,shallow,"Input: deep Answer: shallow
"
defeat,win,"Input: defeat Answer: win
"
defense,prosecution,"Input: defense Answer: prosecution
"
