input,output,text
time,Zeit,"Input: time Answer: Zeit
"
game,Spiel,"Input: game Answer: Spiel
"
film,Film,"Input: film Answer: Film
"
season,Staffel,"Input: season Answer: Staffel
"
year,Jahr,"Input: year Answer: Jahr
"
second,Sekunde,"Input: second Answer: Sekunde
"
album,Album,"Input: album Answer: Album
"
song,Lied,"Input: song Answer: Lied
"
number,Anzahl,"Input: number Answer: Anzahl
"
part,Teil,"Input: part Answer: Teil
"
team,Mannschaft,"Input: team Answer: Mannschaft
"
episode,Episode,"Input: episode Answer: Episode
"
work,Arbeit,"Input: work Answer: Arbeit
"
day,Tag,"Input: day Answer: Tag
"
end,Tod,"Input: end Answer: Tod
"
music,Musik,"Input: music Answer: Musik
"
state,Zustand,"Input: state Answer: Zustand
"
century,Jahrhundert,"Input: century Answer: Jahrhundert
"
area,Areal,"Input: area Answer: Areal
"
life,Leben,"Input: life Answer: Leben
"
city,Stadt,"Input: city Answer: Stadt
"
show,Demonstration,"Input: show Answer: Demonstration
"
war,Krieg,"Input: war Answer: Krieg
"
group,Gruppe,"Input: group Answer: Gruppe
"
character,Charakter,"Input: character Answer: Charakter
"
system,System,"Input: system Answer: System
"
name,Name,"Input: name Answer: Name
"
government,Regierung,"Input: government Answer: Regierung
"
line,Zeile,"Input: line Answer: Zeile
"
home,Heimat,"Input: home Answer: Heimat
"
band,Band,"Input: band Answer: Band
"
record,Datensatz,"Input: record Answer: Datensatz
"
ship,Schiff,"Input: ship Answer: Schiff
"
world,Welt,"Input: world Answer: Welt
"
death,Tod,"Input: death Answer: Tod
"
release,Veröffentlichung,"Input: release Answer: Veröffentlichung
"
video,Video,"Input: video Answer: Video
"
role,Rolle,"Input: role Answer: Rolle
"
match,ebenbürtig,"Input: match Answer: ebenbürtig
"
way,Weise,"Input: way Answer: Weise
"
south,Süden,"Input: south Answer: Süden
"
side,Seite,"Input: side Answer: Seite
"
career,Karriere,"Input: career Answer: Karriere
"
school,Schule,"Input: school Answer: Schule
"
production,Produktion,"Input: production Answer: Produktion
"
story,Erzählung,"Input: story Answer: Erzählung
"
water,Wasser,"Input: water Answer: Wasser
"
power,Macht,"Input: power Answer: Macht
"
form,Formular,"Input: form Answer: Formular
"
storm,Sturm,"Input: storm Answer: Sturm
"
player,Spieler,"Input: player Answer: Spieler
"
history,Geschichte,"Input: history Answer: Geschichte
"
version,Version,"Input: version Answer: Version
"
support,Unterstützung,"Input: support Answer: Unterstützung
"
book,Buch ; Pennsylvania German: buch,"Input: book Answer: Buch ; Pennsylvania German: buch
"
period,Stunde,"Input: period Answer: Stunde
"
half,Hälfte,"Input: half Answer: Hälfte
"
