input,output,text
the,le,"Input: the Answer: le
"
of,love,"Input: of Answer: love
"
to,pooh,"Input: to Answer: pooh
"
and,blackened,"Input: and Answer: blackened
"
a,le,"Input: a Answer: le
"
in,been,"Input: in Answer: been
"
is,whiz,"Input: is Answer: whiz
"
it,grit,"Input: it Answer: grit
"
you,pooh,"Input: you Answer: pooh
"
that,kat,"Input: that Answer: kat
"
he,glee,"Input: he Answer: glee
"
was,mas,"Input: was Answer: mas
"
for,pour,"Input: for Answer: pour
"
on,john,"Input: on Answer: john
"
are,gar,"Input: are Answer: gar
"
with,No,"Input: with Answer: No
"
as,spaz,"Input: as Answer: spaz
"
I,jai,"Input: I Answer: jai
"
his,whiz,"Input: his Answer: whiz
"
they,wey,"Input: they Answer: wey
"
be,glee,"Input: be Answer: glee
"
at,kat,"Input: at Answer: kat
"
one,done,"Input: one Answer: done
"
have,halve,"Input: have Answer: halve
"
this,dis,"Input: this Answer: dis
"
from,dumb,"Input: from Answer: dumb
"
or,pour,"Input: or Answer: pour
"
had,chad,"Input: had Answer: chad
"
by,jai,"Input: by Answer: jai
"
not,.dot,"Input: not Answer: .dot
"
word,nerd,"Input: word Answer: nerd
"
but,rut,"Input: but Answer: rut
"
what,rut,"Input: what Answer: rut
"
some,dumb,"Input: some Answer: dumb
"
we,glee,"Input: we Answer: glee
"
can,chan,"Input: can Answer: chan
"
out,scout,"Input: out Answer: scout
"
other,nother,"Input: other Answer: nother
"
were,purr,"Input: were Answer: purr
"
all,tall,"Input: all Answer: tall
"
there,clair,"Input: there Answer: clair
"
when,zen,"Input: when Answer: zen
"
up,cup,"Input: up Answer: cup
"
use,truce,"Input: use Answer: truce
"
your,pour,"Input: your Answer: pour
"
how,bow,"Input: how Answer: bow
"
said,dead,"Input: said Answer: dead
"
an,chan,"Input: an Answer: chan
"
each,bleach,"Input: each Answer: bleach
"
she,glee,"Input: she Answer: glee
"
which,bitch,"Input: which Answer: bitch
"
do,pooh,"Input: do Answer: pooh
"
their,clair,"Input: their Answer: clair
"
time,i'm,"Input: time Answer: i'm
"
if,whiff,"Input: if Answer: whiff
"
will,hill,"Input: will Answer: hill
"
way,day,"Input: way Answer: day
"
about,scout,"Input: about Answer: scout
"
many,lenny,"Input: many Answer: lenny
"
then,zen,"Input: then Answer: zen
"
them,gem,"Input: them Answer: gem
"
write,night,"Input: write Answer: night
"
would,stood,"Input: would Answer: stood
"
like,dyke,"Input: like Answer: dyke
"
so,show,"Input: so Answer: show
"
these,t's,"Input: these Answer: t's
"
her,purr,"Input: her Answer: purr
"
long,wrong,"Input: long Answer: wrong
"
make,take,"Input: make Answer: take
"
thing,swing,"Input: thing Answer: swing
"
see,glee,"Input: see Answer: glee
"
him,mim,"Input: him Answer: mim
"
two,pooh,"Input: two Answer: pooh
"
has,spaz,"Input: has Answer: spaz
"
look,hook,"Input: look Answer: hook
"
more,pour,"Input: more Answer: pour
"
day,way,"Input: day Answer: way
"
could,good,"Input: could Answer: good
"
go,know,"Input: go Answer: know
"
come,dumb,"Input: come Answer: dumb
"
did,skid,"Input: did Answer: skid
"
number,slumber,"Input: number Answer: slumber
"
sound,ground,"Input: sound Answer: ground
"
