input,output,text
Chills ran along her skin just thinking about the terrifying experience.,Plural,"Input: Chills ran along her skin just thinking about the terrifying experience. Answer: Plural
"
"Also, there were rarely any witnesses to the actual episode, just events before and after.",Plural,"Input: Also, there were rarely any witnesses to the actual episode, just events before and after. Answer: Plural
"
The crows circled above me.,Plural,"Input: The crows circled above me. Answer: Plural
"
"A prickle of awareness ran down her spine, and she turned slowly.",Singular,"Input: A prickle of awareness ran down her spine, and she turned slowly. Answer: Singular
"
Your Mackenzie in-laws have sordid reputations few decent families wish to be connected with.,Plural,"Input: Your Mackenzie in-laws have sordid reputations few decent families wish to be connected with. Answer: Plural
"
""" And then one of the creatures came to the door, and asked us through it if we had any curtains.",Plural,"Input: "" And then one of the creatures came to the door, and asked us through it if we had any curtains. Answer: Plural
"
"Questions crowded Lorraine's mind, and she asked the most pressing ones first.",Plural,"Input: Questions crowded Lorraine's mind, and she asked the most pressing ones first. Answer: Plural
"
"What did your tests show ? """,Plural,"Input: What did your tests show ? "" Answer: Plural
"
Things I caused with a pull of my bowstring.,Plural,"Input: Things I caused with a pull of my bowstring. Answer: Plural
"
These ideas already existed at that time from Hinduism.,Plural,"Input: These ideas already existed at that time from Hinduism. Answer: Plural
"
"Nearly a dozen molten slugs passed through the alien's sternum and stomach, as they did on several other Ancient soldiers.",Plural,"Input: Nearly a dozen molten slugs passed through the alien's sternum and stomach, as they did on several other Ancient soldiers. Answer: Plural
"
The marble floors in the foyer felt like ice cubes on the soles of her feet.,Plural,"Input: The marble floors in the foyer felt like ice cubes on the soles of her feet. Answer: Plural
"
The van pulled up to the church and everyone got out.,Singular,"Input: The van pulled up to the church and everyone got out. Answer: Singular
"
"Shadowhunters cleave to no single religion, and in turn all religions assist us in our battle.",Plural,"Input: Shadowhunters cleave to no single religion, and in turn all religions assist us in our battle. Answer: Plural
"
Cadmus had killed Ares' dragon without knowing who it belonged to and it had caused a huge ruckus in Olympus.,Plural,"Input: Cadmus had killed Ares' dragon without knowing who it belonged to and it had caused a huge ruckus in Olympus. Answer: Plural
"
