input,output,text
Sentence 1: Approach a task. Sentence 2: To approach the city. Word: approach,not the same,"Input: Sentence 1: Approach a task. Sentence 2: To approach the city. Word: approach Answer: not the same
"
Sentence 1: Run rogue. Sentence 2: She ran 10 miles that day. Word: run,not the same,"Input: Sentence 1: Run rogue. Sentence 2: She ran 10 miles that day. Word: run Answer: not the same
"
Sentence 1: We like to summer in the Mediterranean. Sentence 2: We summered in Kashmir. Word: summer,same,"Input: Sentence 1: We like to summer in the Mediterranean. Sentence 2: We summered in Kashmir. Word: summer Answer: same
"
Sentence 1: His horse won by a head. Sentence 2: He is two heads taller than his little sister. Word: head,same,"Input: Sentence 1: His horse won by a head. Sentence 2: He is two heads taller than his little sister. Word: head Answer: same
"
Sentence 1: The company agrees to meet the cost of any repairs. Sentence 2: This proposal meets my requirements. Word: meet,same,"Input: Sentence 1: The company agrees to meet the cost of any repairs. Sentence 2: This proposal meets my requirements. Word: meet Answer: same
"
Sentence 1: The organism has reached a crucial stage in its development. Sentence 2: Our news team brings you the latest developments. Word: development,not the same,"Input: Sentence 1: The organism has reached a crucial stage in its development. Sentence 2: Our news team brings you the latest developments. Word: development Answer: not the same
"
Sentence 1: The governor should act on the new energy bill. Sentence 2: Think before you act. Word: act,same,"Input: Sentence 1: The governor should act on the new energy bill. Sentence 2: Think before you act. Word: act Answer: same
"
Sentence 1: Port the helm. Sentence 2: Port arms! Word: port,not the same,"Input: Sentence 1: Port the helm. Sentence 2: Port arms! Word: port Answer: not the same
"
Sentence 1: Fall into a trap. Sentence 2: She fell to pieces after she lost her work. Word: fall,same,"Input: Sentence 1: Fall into a trap. Sentence 2: She fell to pieces after she lost her work. Word: fall Answer: same
"
Sentence 1: The boat had a metallic finish. Sentence 2: He applied a coat of a clear finish. Word: finish,same,"Input: Sentence 1: The boat had a metallic finish. Sentence 2: He applied a coat of a clear finish. Word: finish Answer: same
"
Sentence 1: Clothes make the man. Sentence 2: This makes the third infraction. Word: make,same,"Input: Sentence 1: Clothes make the man. Sentence 2: This makes the third infraction. Word: make Answer: same
"
