input,output,text
time,hora,"Input: time Answer: hora
"
game,juego,"Input: game Answer: juego
"
film,película,"Input: film Answer: película
"
season,temporada,"Input: season Answer: temporada
"
year,año,"Input: year Answer: año
"
second,segundo,"Input: second Answer: segundo
"
album,álbum,"Input: album Answer: álbum
"
song,canción,"Input: song Answer: canción
"
number,número,"Input: number Answer: número
"
part,categoría,"Input: part Answer: categoría
"
team,equipo,"Input: team Answer: equipo
"
episode,episodio,"Input: episode Answer: episodio
"
work,trabajo,"Input: work Answer: trabajo
"
day,día,"Input: day Answer: día
"
end,muerte,"Input: end Answer: muerte
"
music,música,"Input: music Answer: música
"
state,estado,"Input: state Answer: estado
"
century,centuria,"Input: century Answer: centuria
"
area,área,"Input: area Answer: área
"
life,vida,"Input: life Answer: vida
"
city,ciudad,"Input: city Answer: ciudad
"
show,programa,"Input: show Answer: programa
"
war,guerra,"Input: war Answer: guerra
"
group,grupo,"Input: group Answer: grupo
"
character,carácter,"Input: character Answer: carácter
"
system,sistema,"Input: system Answer: sistema
"
name,nombre,"Input: name Answer: nombre
"
government,gobierno,"Input: government Answer: gobierno
"
line,línea,"Input: line Answer: línea
"
home,hogar,"Input: home Answer: hogar
"
band,banda,"Input: band Answer: banda
"
record,registro,"Input: record Answer: registro
"
ship,barco,"Input: ship Answer: barco
"
world,mundo,"Input: world Answer: mundo
"
death,muerte,"Input: death Answer: muerte
"
release,versión,"Input: release Answer: versión
"
video,vídeo,"Input: video Answer: vídeo
"
role,papel,"Input: role Answer: papel
"
match,igual,"Input: match Answer: igual
"
way,medios,"Input: way Answer: medios
"
south,sur,"Input: south Answer: sur
"
side,lado,"Input: side Answer: lado
"
career,carrera,"Input: career Answer: carrera
"
school,escuela,"Input: school Answer: escuela
"
production,elaboración,"Input: production Answer: elaboración
"
story,cuento,"Input: story Answer: cuento
"
water,agua,"Input: water Answer: agua
"
power,potencia,"Input: power Answer: potencia
"
form,formulario,"Input: form Answer: formulario
"
storm,temporal,"Input: storm Answer: temporal
"
player,jugador,"Input: player Answer: jugador
"
history,historia,"Input: history Answer: historia
"
version,versión,"Input: version Answer: versión
"
support,apoyo,"Input: support Answer: apoyo
"
book,libro,"Input: book Answer: libro
"
period,período,"Input: period Answer: período
"
half,mitad,"Input: half Answer: mitad
"
company,compañía,"Input: company Answer: compañía
"
position,posición,"Input: position Answer: posición
"
order,orden,"Input: order Answer: orden
"
attack,ataque,"Input: attack Answer: ataque
"
building,edificación,"Input: building Answer: edificación
"
town,ciudad,"Input: town Answer: ciudad
"
performance,actuación,"Input: performance Answer: actuación
"
country,país,"Input: country Answer: país
"
west,oeste,"Input: west Answer: oeste
"
service,servicio,"Input: service Answer: servicio
"
father,padre,"Input: father Answer: padre
"
track,pista,"Input: track Answer: pista
"
club,club,"Input: club Answer: club
"
control,control,"Input: control Answer: control
"
development,desarrollo,"Input: development Answer: desarrollo
"
result,resultado,"Input: result Answer: resultado
"
run,galopar,"Input: run Answer: galopar
"
week,semana,"Input: week Answer: semana
"
class,clase,"Input: class Answer: clase
"
force,fuerza,"Input: force Answer: fuerza
"
land,patria,"Input: land Answer: patria
"
house,casa,"Input: house Answer: casa
"
fire,fuego,"Input: fire Answer: fuego
"
television,televisión,"Input: television Answer: televisión
"
return,regresar,"Input: return Answer: regresar
"
head,cabeza,"Input: head Answer: cabeza
"
style,tratamiento,"Input: style Answer: tratamiento
"
design,diseño,"Input: design Answer: diseño
"
level,nivel,"Input: level Answer: nivel
"
success,éxito,"Input: success Answer: éxito
"
route,recorrido,"Input: route Answer: recorrido
"
member,miembro,"Input: member Answer: miembro
"
