input,output,text
"Bellucci was born 30 September 1964 in Città di Castello, Umbria, the only child of Brunella Briganti and Pasquale Bellucci, and grew up in Lama of San Giustino",30 September 1964,"Input: Bellucci was born 30 September 1964 in Città di Castello, Umbria, the only child of Brunella Briganti and Pasquale Bellucci, and grew up in Lama of San Giustino Answer: 30 September 1964
"
"Cruise was born on July 3, 1962, in Syracuse, New York, to electrical engineer Thomas Cruise Mapother III (1934–1984) and special education teacher Mary Lee (née Pfeiffer; 1936–2017)","July 3, 1962","Input: Cruise was born on July 3, 1962, in Syracuse, New York, to electrical engineer Thomas Cruise Mapother III (1934–1984) and special education teacher Mary Lee (née Pfeiffer; 1936–2017) Answer: July 3, 1962
"
"Johansson was born on November 22, 1984, in the Manhattan borough of New York City","November 22, 1984","Input: Johansson was born on November 22, 1984, in the Manhattan borough of New York City Answer: November 22, 1984
"
"Jason Statham was born on 26 July 1967 in Shirebrook, Derbyshire, to Eileen (née Yates), a dancer, and Barry Statham, a street seller",26 July 1967,"Input: Jason Statham was born on 26 July 1967 in Shirebrook, Derbyshire, to Eileen (née Yates), a dancer, and Barry Statham, a street seller Answer: 26 July 1967
"
"Dwayne Douglas Johnson was born in Hayward, California on May 2, 1972, the son of Ata Johnson (née Maivia; born 1948) and former professional wrestler Rocky Johnson (born Wayde Douglas Bowles; 1944–2020)","May 2, 1972","Input: Dwayne Douglas Johnson was born in Hayward, California on May 2, 1972, the son of Ata Johnson (née Maivia; born 1948) and former professional wrestler Rocky Johnson (born Wayde Douglas Bowles; 1944–2020) Answer: May 2, 1972
"
"Mayte Michelle Rodriguez was born on July 12, 1978, in San Antonio, Texas","July 12, 1978","Input: Mayte Michelle Rodriguez was born on July 12, 1978, in San Antonio, Texas Answer: July 12, 1978
"
"Thomas Jeffrey Hanks was born in Concord, California, on July 9, 1956, to hospital worker Janet Marylyn (née Frager) and itinerant cook Amos Mefford Hanks","July 9, 1956","Input: Thomas Jeffrey Hanks was born in Concord, California, on July 9, 1956, to hospital worker Janet Marylyn (née Frager) and itinerant cook Amos Mefford Hanks Answer: July 9, 1956
"
"Edward Thomas Hardy was born in the Hammersmith district of London on 15 September 1977, the only child of artist and painter Anne (née Barrett) and novelist and comedy writer Edward ""Chips"" Hardy",15 September 1977,"Input: Edward Thomas Hardy was born in the Hammersmith district of London on 15 September 1977, the only child of artist and painter Anne (née Barrett) and novelist and comedy writer Edward ""Chips"" Hardy Answer: 15 September 1977
"
"John Christopher Depp II was born on June 9, 1963, in Owensboro, Kentucky, the youngest of four children of waitress Betty Sue Palmer (née Wells) and civil engineer John Christopher Depp","June 9, 1963","Input: John Christopher Depp II was born on June 9, 1963, in Owensboro, Kentucky, the youngest of four children of waitress Betty Sue Palmer (née Wells) and civil engineer John Christopher Depp Answer: June 9, 1963
"
"Arnold Alois Schwarzenegger was born in Thal, Austria on July 30, 1947, the second son of Gustav Schwarzenegger and his wife, Aurelia (née Jadrny)","July 30, 1947","Input: Arnold Alois Schwarzenegger was born in Thal, Austria on July 30, 1947, the second son of Gustav Schwarzenegger and his wife, Aurelia (née Jadrny) Answer: July 30, 1947
"
