input,output,text
To emphasize the 50th anniversary of the Super Bowl the gold color was used.,To emphasize the 50th anniversary of the Super Bowl the gold color was not used.,"Input: To emphasize the 50th anniversary of the Super Bowl the gold color was used. Answer: To emphasize the 50th anniversary of the Super Bowl the gold color was not used.
"
Von Miller plays in linebacker position for the Denver Broncos.,Von Miller does not play in linebacker position for the Denver Broncos.,"Input: Von Miller plays in linebacker position for the Denver Broncos. Answer: Von Miller does not play in linebacker position for the Denver Broncos.
"
The TGIF comedy Family Matters for the 1997-98 season was originally aired by CBS.,The TGIF comedy Family Matters for the 1997-98 season was not originally aired by CBS.,"Input: The TGIF comedy Family Matters for the 1997-98 season was originally aired by CBS. Answer: The TGIF comedy Family Matters for the 1997-98 season was not originally aired by CBS.
"
Thomas Davis broke his arm during the NFC Championship Game.,Thomas Davis did not break his arm during the NFC Championship Game.,"Input: Thomas Davis broke his arm during the NFC Championship Game. Answer: Thomas Davis did not break his arm during the NFC Championship Game.
"
The first choice in the NFL draft of 1998 was Manning.,The first choice in the NFL draft of 1998 was not Manning.,"Input: The first choice in the NFL draft of 1998 was Manning. Answer: The first choice in the NFL draft of 1998 was not Manning.
"
The Panthers head coach for the 2015 season was Rivera.,The Panthers head coach for the 2015 season was not Rivera.,"Input: The Panthers head coach for the 2015 season was Rivera. Answer: The Panthers head coach for the 2015 season was not Rivera.
"
The primary race of students attending Christian academies was white.,The primary race of students attending Christian academies was not white.,"Input: The primary race of students attending Christian academies was white. Answer: The primary race of students attending Christian academies was not white.
"
The color of the jerseys in Super Bowl XXXII when Elway was quarterback was blue.,The color of the jerseys in Super Bowl XXXII when Elway was quarterback was not blue.,"Input: The color of the jerseys in Super Bowl XXXII when Elway was quarterback was blue. Answer: The color of the jerseys in Super Bowl XXXII when Elway was quarterback was not blue.
"
jersey Denver 0-4 is colored in orange.,jersey Denver 0-4 is not colored in orange.,"Input: jersey Denver 0-4 is colored in orange. Answer: jersey Denver 0-4 is not colored in orange.
"
The Media Day for Super Bowl 50 was held on Monday.,The Media Day for Super Bowl 50 was not held on Monday.,"Input: The Media Day for Super Bowl 50 was held on Monday. Answer: The Media Day for Super Bowl 50 was not held on Monday.
"
The Super Bowl sponsor was the Gap clothing company.,The Super Bowl sponsor was not the Gap clothing company.,"Input: The Super Bowl sponsor was the Gap clothing company. Answer: The Super Bowl sponsor was not the Gap clothing company.
"
For Super Bowl 50 cameras were put on pylons.,For Super Bowl 50 cameras were not put on pylons.,"Input: For Super Bowl 50 cameras were put on pylons. Answer: For Super Bowl 50 cameras were not put on pylons.
"
The ad shown during the Super Bowl for the next Jason Bourne movie was paid by Universal.,The ad shown during the Super Bowl for the next Jason Bourne movie was not paid by Universal.,"Input: The ad shown during the Super Bowl for the next Jason Bourne movie was paid by Universal. Answer: The ad shown during the Super Bowl for the next Jason Bourne movie was not paid by Universal.
"
Richard G. Wilkinson and Kate Pickett are British.,Richard G. Wilkinson and Kate Pickett are not British.,"Input: Richard G. Wilkinson and Kate Pickett are British. Answer: Richard G. Wilkinson and Kate Pickett are not British.
"
"Gary Kubiak partedipated in the Super Bowl, as a player with the Broncos.","Gary Kubiak did not partedipate in the Super Bowl, as a player with the Broncos.","Input: Gary Kubiak partedipated in the Super Bowl, as a player with the Broncos. Answer: Gary Kubiak did not partedipate in the Super Bowl, as a player with the Broncos.
"
Warsaw is the most diverse city in Poland.,Warsaw is not the most diverse city in Poland.,"Input: Warsaw is the most diverse city in Poland. Answer: Warsaw is not the most diverse city in Poland.
"
A significant minority of in Warsaw were Jewish.,A significant minority of in Warsaw were not Jewish.,"Input: A significant minority of in Warsaw were Jewish. Answer: A significant minority of in Warsaw were not Jewish.
"
Zbigniew Badowski is an architect.,Zbigniew Badowski is not an architect.,"Input: Zbigniew Badowski is an architect. Answer: Zbigniew Badowski is not an architect.
"
During the Eastern Bloc economy in Warsaw infrastructure suffered considerably.,During the Eastern Bloc economy in Warsaw infrastructure did not suffer considerably.,"Input: During the Eastern Bloc economy in Warsaw infrastructure suffered considerably. Answer: During the Eastern Bloc economy in Warsaw infrastructure did not suffer considerably.
"
The best medical facilities in East-Central Europe are located in Warsaw.,The best medical facilities in East-Central Europe are not located in Warsaw.,"Input: The best medical facilities in East-Central Europe are located in Warsaw. Answer: The best medical facilities in East-Central Europe are not located in Warsaw.
"
The Teatr Wielki is a theatre.,The Teatr Wielki is not a theatre.,"Input: The Teatr Wielki is a theatre. Answer: The Teatr Wielki is not a theatre.
"
Botanic Garden and University Library garden are green spaces in Warsaw.,Botanic Garden and University Library garden are not green spaces in Warsaw.,"Input: Botanic Garden and University Library garden are green spaces in Warsaw. Answer: Botanic Garden and University Library garden are not green spaces in Warsaw.
"
The City Council divide itself into committees.,The City Council do not divide itself into committees.,"Input: The City Council divide itself into committees. Answer: The City Council do not divide itself into committees.
"
The mayor of Warsaw called is called the President.,The mayor of Warsaw called is not called the President.,"Input: The mayor of Warsaw called is called the President. Answer: The mayor of Warsaw called is not called the President.
"
In the Treaty of Lisbon 2007 Ireland refused to content to changes.,In the Treaty of Lisbon 2007 Ireland did not refuse to content to changes.,"Input: In the Treaty of Lisbon 2007 Ireland refused to content to changes. Answer: In the Treaty of Lisbon 2007 Ireland did not refuse to content to changes.
"
The Normans combine with the Irish culture in Ireland.,The Normans combine with the Irish culture in Ireland.,"Input: The Normans combine with the Irish culture in Ireland. Answer: The Normans combine with the Irish culture in Ireland.
"
The Davidian Revolution refers to the arrival of the Norman culture in Scotland.,The Davidian Revolution does not refer to the arrival of the Norman culture in Scotland.,"Input: The Davidian Revolution refers to the arrival of the Norman culture in Scotland. Answer: The Davidian Revolution does not refer to the arrival of the Norman culture in Scotland.
"
Tancred play a roll in the conquest of Jerusalem.,Tancred do not play a roll in the conquest of Jerusalem.,"Input: Tancred play a roll in the conquest of Jerusalem. Answer: Tancred do not play a roll in the conquest of Jerusalem.
"
