input,output,text
What does the abbreviation SOS mean?,yes,"Input: What does the abbreviation SOS mean? Answer: yes
"
What do the letters ZIP stand for in the phrase `` ZIP code ''?,yes,"Input: What do the letters ZIP stand for in the phrase `` ZIP code ''? Answer: yes
"
What does CPR stand for?,yes,"Input: What does CPR stand for? Answer: yes
"
What does CPR stand for?,yes,"Input: What does CPR stand for? Answer: yes
"
"What does Ms., Miss, and Mrs. stand for?",yes,"Input: What does Ms., Miss, and Mrs. stand for? Answer: yes
"
What does the number `` 5 '' stand for on FUBU clothing?,yes,"Input: What does the number `` 5 '' stand for on FUBU clothing? Answer: yes
"
What does A&W of root beer fame stand for?,yes,"Input: What does A&W of root beer fame stand for? Answer: yes
"
"What do the letters D.C. stand for in Washington, D.C.?",yes,"Input: What do the letters D.C. stand for in Washington, D.C.? Answer: yes
"
What does the abbreviation cwt.?,yes,"Input: What does the abbreviation cwt.? Answer: yes
"
What does the acronym NASA stand for?,yes,"Input: What does the acronym NASA stand for? Answer: yes
"
What is DSL?,yes,"Input: What is DSL? Answer: yes
"
What does the T.S. stand for in T.S. Eliot 's name?,yes,"Input: What does the T.S. stand for in T.S. Eliot 's name? Answer: yes
"
What is HTML?,yes,"Input: What is HTML? Answer: yes
"
What does NECROSIS mean?,yes,"Input: What does NECROSIS mean? Answer: yes
"
What does pH stand for?,yes,"Input: What does pH stand for? Answer: yes
"
What does BUD stand for?,yes,"Input: What does BUD stand for? Answer: yes
"
What is the abbreviated term used for the National Bureau of Investigation?,yes,"Input: What is the abbreviated term used for the National Bureau of Investigation? Answer: yes
"
What does the word LASER mean?,yes,"Input: What does the word LASER mean? Answer: yes
"
What 's the abbreviation for limited partnership?,yes,"Input: What 's the abbreviation for limited partnership? Answer: yes
"
What does I.V. stand for?,yes,"Input: What does I.V. stand for? Answer: yes
"
What does HIV stand for?,yes,"Input: What does HIV stand for? Answer: yes
"
What does VCR stand for?,yes,"Input: What does VCR stand for? Answer: yes
"
What does EKG stand for?,yes,"Input: What does EKG stand for? Answer: yes
"
What is the abbreviation for Original Equipment Manufacturer?,yes,"Input: What is the abbreviation for Original Equipment Manufacturer? Answer: yes
"
What does the technical term ISDN mean?,yes,"Input: What does the technical term ISDN mean? Answer: yes
"
What is RCD?,yes,"Input: What is RCD? Answer: yes
"
What does JESSICA mean?,yes,"Input: What does JESSICA mean? Answer: yes
"
