input,output,text
time,temps,"Input: time Answer: temps
"
game,jeu,"Input: game Answer: jeu
"
film,pellicule,"Input: film Answer: pellicule
"
season,saison,"Input: season Answer: saison
"
year,année,"Input: year Answer: année
"
second,seconde,"Input: second Answer: seconde
"
album,album,"Input: album Answer: album
"
song,chanson,"Input: song Answer: chanson
"
number,nombre,"Input: number Answer: nombre
"
part,raie,"Input: part Answer: raie
"
team,équipe,"Input: team Answer: équipe
"
episode,épisode,"Input: episode Answer: épisode
"
work,travail,"Input: work Answer: travail
"
day,jour,"Input: day Answer: jour
"
end,fin,"Input: end Answer: fin
"
music,musique,"Input: music Answer: musique
"
state,état,"Input: state Answer: état
"
century,centurie,"Input: century Answer: centurie
"
area,région,"Input: area Answer: région
"
life,vie,"Input: life Answer: vie
"
city,ville,"Input: city Answer: ville
"
show,émission,"Input: show Answer: émission
"
war,bataille,"Input: war Answer: bataille
"
group,groupe,"Input: group Answer: groupe
"
character,caractère,"Input: character Answer: caractère
"
system,système,"Input: system Answer: système
"
name,nom,"Input: name Answer: nom
"
government,gouvernement,"Input: government Answer: gouvernement
"
line,ligne,"Input: line Answer: ligne
"
home,maison,"Input: home Answer: maison
"
band,groupe,"Input: band Answer: groupe
"
record,enregistrement,"Input: record Answer: enregistrement
"
ship,vaisseau,"Input: ship Answer: vaisseau
"
world,La Terre,"Input: world Answer: La Terre
"
death,mort,"Input: death Answer: mort
"
release,version,"Input: release Answer: version
"
video,vidéo,"Input: video Answer: vidéo
"
role,rôle,"Input: role Answer: rôle
"
match,allumette,"Input: match Answer: allumette
"
way,manière,"Input: way Answer: manière
"
south,sud,"Input: south Answer: sud
"
side,côté,"Input: side Answer: côté
"
career,carrière,"Input: career Answer: carrière
"
school,école,"Input: school Answer: école
"
production,production,"Input: production Answer: production
"
story,histoire,"Input: story Answer: histoire
"
water,eau,"Input: water Answer: eau
"
power,puissance,"Input: power Answer: puissance
"
form,formulaire,"Input: form Answer: formulaire
"
storm,tempête,"Input: storm Answer: tempête
"
player,joueur,"Input: player Answer: joueur
"
history,histoire,"Input: history Answer: histoire
"
version,version,"Input: version Answer: version
"
support,soutien,"Input: support Answer: soutien
"
book,livre,"Input: book Answer: livre
"
period,période,"Input: period Answer: période
"
half,moitié,"Input: half Answer: moitié
"
company,compagnie,"Input: company Answer: compagnie
"
position,position,"Input: position Answer: position
"
order,ordre,"Input: order Answer: ordre
"
attack,attaque,"Input: attack Answer: attaque
"
building,construction,"Input: building Answer: construction
"
town,ville,"Input: town Answer: ville
"
performance,exécution,"Input: performance Answer: exécution
"
country,pays,"Input: country Answer: pays
"
west,ouest,"Input: west Answer: ouest
"
service,service,"Input: service Answer: service
"
father,père,"Input: father Answer: père
"
track,voie,"Input: track Answer: voie
"
club,club,"Input: club Answer: club
"
control,contrôle,"Input: control Answer: contrôle
"
