input,output,text
"unpretentious, charming, quirky, original",positive,"Input: unpretentious, charming, quirky, original Answer: positive
"
Very well-written and very well-acted.,positive,"Input: Very well-written and very well-acted. Answer: positive
"
Disney again ransacks its archives for a quick-buck sequel.,negative,"Input: Disney again ransacks its archives for a quick-buck sequel. Answer: negative
"
Elvira fans could hardly ask for more.,positive,"Input: Elvira fans could hardly ask for more. Answer: positive
"
An extremely unpleasant film.,negative,"Input: An extremely unpleasant film. Answer: negative
"
Amazingly lame.,negative,"Input: Amazingly lame. Answer: negative
"
This comic gem is as delightful as it is derivative.,positive,"Input: This comic gem is as delightful as it is derivative. Answer: positive
"
Tedious Norwegian offering which somehow snagged an Oscar nomination.,negative,"Input: Tedious Norwegian offering which somehow snagged an Oscar nomination. Answer: negative
"
Intelligent and moving.,positive,"Input: Intelligent and moving. Answer: positive
"
"Exhilarating, funny and fun.",positive,"Input: Exhilarating, funny and fun. Answer: positive
"
Feeble comedy.,negative,"Input: Feeble comedy. Answer: negative
"
Excruciatingly unfunny and pitifully unromantic.,negative,"Input: Excruciatingly unfunny and pitifully unromantic. Answer: negative
"
Another entertaining romp from Robert Rodriguez.,positive,"Input: Another entertaining romp from Robert Rodriguez. Answer: positive
"
A party-hearty teen flick that scalds like acid.,negative,"Input: A party-hearty teen flick that scalds like acid. Answer: negative
"
This may be Burns's strongest film since The Brothers McMullen.,positive,"Input: This may be Burns's strongest film since The Brothers McMullen. Answer: positive
"
Morton deserves an Oscar nomination.,positive,"Input: Morton deserves an Oscar nomination. Answer: positive
"
"A meditation on faith and madness, Frailty is blood-curdling stuff.",positive,"Input: A meditation on faith and madness, Frailty is blood-curdling stuff. Answer: positive
"
This thing is virtually unwatchable.,negative,"Input: This thing is virtually unwatchable. Answer: negative
"
K-19: The Widowmaker is a great yarn.,positive,"Input: K-19: The Widowmaker is a great yarn. Answer: positive
"
An enjoyable experience.,positive,"Input: An enjoyable experience. Answer: positive
"
The satire is just too easy to be genuinely satisfying.,negative,"Input: The satire is just too easy to be genuinely satisfying. Answer: negative
"
Heavy with flabby rolls of typical Toback machinations.,negative,"Input: Heavy with flabby rolls of typical Toback machinations. Answer: negative
"
Another Best of the Year selection.,positive,"Input: Another Best of the Year selection. Answer: positive
"
"Muddled, simplistic and more than a little pretentious.",negative,"Input: Muddled, simplistic and more than a little pretentious. Answer: negative
"
