input,output,text
0,zero,"Input: 0 Answer: zero
"
1,one,"Input: 1 Answer: one
"
2,two,"Input: 2 Answer: two
"
3,three,"Input: 3 Answer: three
"
4,four,"Input: 4 Answer: four
"
5,five,"Input: 5 Answer: five
"
6,six,"Input: 6 Answer: six
"
7,seven,"Input: 7 Answer: seven
"
8,eight,"Input: 8 Answer: eight
"
9,nine,"Input: 9 Answer: nine
"
10,ten,"Input: 10 Answer: ten
"
11,eleven,"Input: 11 Answer: eleven
"
12,twelve,"Input: 12 Answer: twelve
"
13,thirteen,"Input: 13 Answer: thirteen
"
14,fourteen,"Input: 14 Answer: fourteen
"
15,fifteen,"Input: 15 Answer: fifteen
"
16,sixteen,"Input: 16 Answer: sixteen
"
17,seventeen,"Input: 17 Answer: seventeen
"
18,eighteen,"Input: 18 Answer: eighteen
"
19,nineteen,"Input: 19 Answer: nineteen
"
20,twenty,"Input: 20 Answer: twenty
"
21,twenty-one,"Input: 21 Answer: twenty-one
"
22,twenty-two,"Input: 22 Answer: twenty-two
"
23,twenty-three,"Input: 23 Answer: twenty-three
"
24,twenty-four,"Input: 24 Answer: twenty-four
"
25,twenty-five,"Input: 25 Answer: twenty-five
"
26,twenty-six,"Input: 26 Answer: twenty-six
"
27,twenty-seven,"Input: 27 Answer: twenty-seven
"
28,twenty-eight,"Input: 28 Answer: twenty-eight
"
29,twenty-nine,"Input: 29 Answer: twenty-nine
"
30,thirty,"Input: 30 Answer: thirty
"
31,thirty-one,"Input: 31 Answer: thirty-one
"
32,thirty-two,"Input: 32 Answer: thirty-two
"
33,thirty-three,"Input: 33 Answer: thirty-three
"
34,thirty-four,"Input: 34 Answer: thirty-four
"
35,thirty-five,"Input: 35 Answer: thirty-five
"
36,thirty-six,"Input: 36 Answer: thirty-six
"
37,thirty-seven,"Input: 37 Answer: thirty-seven
"
38,thirty-eight,"Input: 38 Answer: thirty-eight
"
39,thirty-nine,"Input: 39 Answer: thirty-nine
"
40,forty,"Input: 40 Answer: forty
"
41,forty-one,"Input: 41 Answer: forty-one
"
42,forty-two,"Input: 42 Answer: forty-two
"
43,forty-three,"Input: 43 Answer: forty-three
"
44,forty-four,"Input: 44 Answer: forty-four
"
45,forty-five,"Input: 45 Answer: forty-five
"
46,forty-six,"Input: 46 Answer: forty-six
"
47,forty-seven,"Input: 47 Answer: forty-seven
"
48,forty-eight,"Input: 48 Answer: forty-eight
"
49,forty-nine,"Input: 49 Answer: forty-nine
"
50,fifty,"Input: 50 Answer: fifty
"
51,fifty-one,"Input: 51 Answer: fifty-one
"
52,fifty-two,"Input: 52 Answer: fifty-two
"
53,fifty-three,"Input: 53 Answer: fifty-three
"
54,fifty-four,"Input: 54 Answer: fifty-four
"
55,fifty-five,"Input: 55 Answer: fifty-five
"
56,fifty-six,"Input: 56 Answer: fifty-six
"
57,fifty-seven,"Input: 57 Answer: fifty-seven
"
58,fifty-eight,"Input: 58 Answer: fifty-eight
"
59,fifty-nine,"Input: 59 Answer: fifty-nine
"
60,sixty,"Input: 60 Answer: sixty
"
61,sixty-one,"Input: 61 Answer: sixty-one
"
62,sixty-two,"Input: 62 Answer: sixty-two
"
63,sixty-three,"Input: 63 Answer: sixty-three
"
64,sixty-four,"Input: 64 Answer: sixty-four
"
65,sixty-five,"Input: 65 Answer: sixty-five
"
66,sixty-six,"Input: 66 Answer: sixty-six
"
67,sixty-seven,"Input: 67 Answer: sixty-seven
"
68,sixty-eight,"Input: 68 Answer: sixty-eight
"
69,sixty-nine,"Input: 69 Answer: sixty-nine
"
70,seventy,"Input: 70 Answer: seventy
"
71,seventy-one,"Input: 71 Answer: seventy-one
"
72,seventy-two,"Input: 72 Answer: seventy-two
"
73,seventy-three,"Input: 73 Answer: seventy-three
"
74,seventy-four,"Input: 74 Answer: seventy-four
"
75,seventy-five,"Input: 75 Answer: seventy-five
"
76,seventy-six,"Input: 76 Answer: seventy-six
"
77,seventy-seven,"Input: 77 Answer: seventy-seven
"
78,seventy-eight,"Input: 78 Answer: seventy-eight
"
79,seventy-nine,"Input: 79 Answer: seventy-nine
"
80,eighty,"Input: 80 Answer: eighty
"
81,eighty-one,"Input: 81 Answer: eighty-one
"
82,eighty-two,"Input: 82 Answer: eighty-two
"
83,eighty-three,"Input: 83 Answer: eighty-three
"
84,eighty-four,"Input: 84 Answer: eighty-four
"
85,eighty-five,"Input: 85 Answer: eighty-five
"
86,eighty-six,"Input: 86 Answer: eighty-six
"
87,eighty-seven,"Input: 87 Answer: eighty-seven
"
88,eighty-eight,"Input: 88 Answer: eighty-eight
"
89,eighty-nine,"Input: 89 Answer: eighty-nine
"
90,ninety,"Input: 90 Answer: ninety
"
91,ninety-one,"Input: 91 Answer: ninety-one
"
92,ninety-two,"Input: 92 Answer: ninety-two
"
93,ninety-three,"Input: 93 Answer: ninety-three
"
95,ninety-five,"Input: 95 Answer: ninety-five
"
96,ninety-six,"Input: 96 Answer: ninety-six
"
97,ninety-seven,"Input: 97 Answer: ninety-seven
"
98,ninety-eight,"Input: 98 Answer: ninety-eight
"
99,ninety-nine,"Input: 99 Answer: ninety-nine
"
100,one hundred,"Input: 100 Answer: one hundred
"
101,one hundred and one,"Input: 101 Answer: one hundred and one
"
102,one hundred and two,"Input: 102 Answer: one hundred and two
"
103,one hundred and three,"Input: 103 Answer: one hundred and three
"
104,one hundred and four,"Input: 104 Answer: one hundred and four
"
105,one hundred and five,"Input: 105 Answer: one hundred and five
"
106,one hundred and six,"Input: 106 Answer: one hundred and six
"
107,one hundred and seven,"Input: 107 Answer: one hundred and seven
"
108,one hundred and eight,"Input: 108 Answer: one hundred and eight
"
109,one hundred and nine,"Input: 109 Answer: one hundred and nine
"
110,one hundred and ten,"Input: 110 Answer: one hundred and ten
"
111,one hundred and eleven,"Input: 111 Answer: one hundred and eleven
"
112,one hundred and twelve,"Input: 112 Answer: one hundred and twelve
"
113,one hundred and thirteen,"Input: 113 Answer: one hundred and thirteen
"
114,one hundred and fourteen,"Input: 114 Answer: one hundred and fourteen
"
115,one hundred and fifteen,"Input: 115 Answer: one hundred and fifteen
"
116,one hundred and sixteen,"Input: 116 Answer: one hundred and sixteen
"
117,one hundred and seventeen,"Input: 117 Answer: one hundred and seventeen
"
118,one hundred and eighteen,"Input: 118 Answer: one hundred and eighteen
"
119,one hundred and nineteen,"Input: 119 Answer: one hundred and nineteen
"
120,one hundred and twenty,"Input: 120 Answer: one hundred and twenty
"
121,one hundred and twenty-one,"Input: 121 Answer: one hundred and twenty-one
"
123,one hundred and twenty-three,"Input: 123 Answer: one hundred and twenty-three
"
124,one hundred and twenty-four,"Input: 124 Answer: one hundred and twenty-four
"
125,one hundred and twenty-five,"Input: 125 Answer: one hundred and twenty-five
"
126,one hundred and twenty-six,"Input: 126 Answer: one hundred and twenty-six
"
127,one hundred and twenty-seven,"Input: 127 Answer: one hundred and twenty-seven
"
128,one hundred and twenty-eight,"Input: 128 Answer: one hundred and twenty-eight
"
129,one hundred and twenty-nine,"Input: 129 Answer: one hundred and twenty-nine
"
130,one hundred and thirty,"Input: 130 Answer: one hundred and thirty
"
131,one hundred and thirty-one,"Input: 131 Answer: one hundred and thirty-one
"
132,one hundred and thirty-two,"Input: 132 Answer: one hundred and thirty-two
"
133,one hundred and thirty-three,"Input: 133 Answer: one hundred and thirty-three
"
134,one hundred and thirty-four,"Input: 134 Answer: one hundred and thirty-four
"
135,one hundred and thirty-five,"Input: 135 Answer: one hundred and thirty-five
"
136,one hundred and thirty-six,"Input: 136 Answer: one hundred and thirty-six
"
137,one hundred and thirty-seven,"Input: 137 Answer: one hundred and thirty-seven
"
138,one hundred and thirty-eight,"Input: 138 Answer: one hundred and thirty-eight
"
139,one hundred and thirty-nine,"Input: 139 Answer: one hundred and thirty-nine
"
140,one hundred and forty,"Input: 140 Answer: one hundred and forty
"
141,one hundred and forty-one,"Input: 141 Answer: one hundred and forty-one
"
142,one hundred and forty-two,"Input: 142 Answer: one hundred and forty-two
"
143,one hundred and forty-three,"Input: 143 Answer: one hundred and forty-three
"
144,one hundred and forty-four,"Input: 144 Answer: one hundred and forty-four
"
145,one hundred and forty-five,"Input: 145 Answer: one hundred and forty-five
"
146,one hundred and forty-six,"Input: 146 Answer: one hundred and forty-six
"
