input,output,text
time,i,"Input: time Answer: i
"
game,a,"Input: game Answer: a
"
film,i,"Input: film Answer: i
"
season,e,"Input: season Answer: e
"
year,e,"Input: year Answer: e
"
second,e,"Input: second Answer: e
"
album,l,"Input: album Answer: l
"
song,o,"Input: song Answer: o
"
number,u,"Input: number Answer: u
"
part,a,"Input: part Answer: a
"
team,e,"Input: team Answer: e
"
episode,p,"Input: episode Answer: p
"
work,o,"Input: work Answer: o
"
day,a,"Input: day Answer: a
"
end,n,"Input: end Answer: n
"
music,u,"Input: music Answer: u
"
state,t,"Input: state Answer: t
"
century,e,"Input: century Answer: e
"
area,r,"Input: area Answer: r
"
life,i,"Input: life Answer: i
"
city,i,"Input: city Answer: i
"
show,h,"Input: show Answer: h
"
war,a,"Input: war Answer: a
"
group,r,"Input: group Answer: r
"
character,h,"Input: character Answer: h
"
system,y,"Input: system Answer: y
"
name,a,"Input: name Answer: a
"
government,o,"Input: government Answer: o
"
line,i,"Input: line Answer: i
"
home,o,"Input: home Answer: o
"
band,a,"Input: band Answer: a
"
record,e,"Input: record Answer: e
"
ship,h,"Input: ship Answer: h
"
world,o,"Input: world Answer: o
"
death,e,"Input: death Answer: e
"
release,e,"Input: release Answer: e
"
video,i,"Input: video Answer: i
"
role,o,"Input: role Answer: o
"
match,a,"Input: match Answer: a
"
way,a,"Input: way Answer: a
"
south,o,"Input: south Answer: o
"
side,i,"Input: side Answer: i
"
career,a,"Input: career Answer: a
"
school,c,"Input: school Answer: c
"
production,r,"Input: production Answer: r
"
story,t,"Input: story Answer: t
"
water,a,"Input: water Answer: a
"
power,o,"Input: power Answer: o
"
form,o,"Input: form Answer: o
"
storm,t,"Input: storm Answer: t
"
player,l,"Input: player Answer: l
"
history,i,"Input: history Answer: i
"
version,e,"Input: version Answer: e
"
support,u,"Input: support Answer: u
"
book,o,"Input: book Answer: o
"
period,e,"Input: period Answer: e
"
half,a,"Input: half Answer: a
"
company,o,"Input: company Answer: o
"
position,o,"Input: position Answer: o
"
order,r,"Input: order Answer: r
"
attack,t,"Input: attack Answer: t
"
include,n,"Input: include Answer: n
"
building,u,"Input: building Answer: u
"
town,o,"Input: town Answer: o
"
performance,e,"Input: performance Answer: e
"
country,o,"Input: country Answer: o
"
west,e,"Input: west Answer: e
"
aircraft,i,"Input: aircraft Answer: i
"
father,a,"Input: father Answer: a
"
track,r,"Input: track Answer: r
"
club,l,"Input: club Answer: l
"
control,o,"Input: control Answer: o
"
development,e,"Input: development Answer: e
"
result,e,"Input: result Answer: e
"
title,i,"Input: title Answer: i
"
week,e,"Input: week Answer: e
"
class,l,"Input: class Answer: l
"
force,o,"Input: force Answer: o
"
land,a,"Input: land Answer: a
"
areas,r,"Input: areas Answer: r
"
house,o,"Input: house Answer: o
"
fire,i,"Input: fire Answer: i
"
television,e,"Input: television Answer: e
"
return,e,"Input: return Answer: e
"
head,e,"Input: head Answer: e
"
style,t,"Input: style Answer: t
"
design,e,"Input: design Answer: e
"
level,e,"Input: level Answer: e
"
success,u,"Input: success Answer: u
"
route,o,"Input: route Answer: o
"
member,e,"Input: member Answer: e
"
battle,a,"Input: battle Answer: a
"
addition,d,"Input: addition Answer: d
"
air,i,"Input: air Answer: i
"
road,o,"Input: road Answer: o
"
range,a,"Input: range Answer: a
"
age,g,"Input: age Answer: g
"
race,a,"Input: race Answer: a
"
body,o,"Input: body Answer: o
"
present,r,"Input: present Answer: r
"
action,c,"Input: action Answer: c
"
population,o,"Input: population Answer: o
"
campaign,a,"Input: campaign Answer: a
"
stage,t,"Input: stage Answer: t
"
station,t,"Input: station Answer: t
"
law,a,"Input: law Answer: a
"
party,a,"Input: party Answer: a
"
night,i,"Input: night Answer: i
"
construction,o,"Input: construction Answer: o
"
damage,a,"Input: damage Answer: a
"
case,a,"Input: case Answer: a
"
event,v,"Input: event Answer: v
"
scene,c,"Input: scene Answer: c
"
front,r,"Input: front Answer: r
"
ground,r,"Input: ground Answer: r
"
field,i,"Input: field Answer: i
"
region,e,"Input: region Answer: e
"
office,f,"Input: office Answer: f
"
example,x,"Input: example Answer: x
"
army,r,"Input: army Answer: r
"
victory,i,"Input: victory Answer: i
"
mph,p,"Input: mph Answer: p
"
mother,o,"Input: mother Answer: o
"
project,r,"Input: project Answer: r
"
rest,e,"Input: rest Answer: e
"
highway,i,"Input: highway Answer: i
"
training,r,"Input: training Answer: r
"
rock,o,"Input: rock Answer: o
"
shot,h,"Input: shot Answer: h
"
process,r,"Input: process Answer: r
"
command,o,"Input: command Answer: o
"
month,o,"Input: month Answer: o
"
crew,r,"Input: crew Answer: r
"
studio,t,"Input: studio Answer: t
"
director,i,"Input: director Answer: i
"
change,h,"Input: change Answer: h
"
appearance,p,"Input: appearance Answer: p
"
list,i,"Input: list Answer: i
"
goal,o,"Input: goal Answer: o
"
relationship,e,"Input: relationship Answer: e
"
court,o,"Input: court Answer: o
"
chart,h,"Input: chart Answer: h
"
church,h,"Input: church Answer: h
"
attempt,t,"Input: attempt Answer: t
"
recording,e,"Input: recording Answer: e
"
sound,o,"Input: sound Answer: o
"
cast,a,"Input: cast Answer: a
"
base,a,"Input: base Answer: a
"
interest,n,"Input: interest Answer: n
"
term,e,"Input: term Answer: e
"
post,o,"Input: post Answer: o
"
art,r,"Input: art Answer: r
"
future,u,"Input: future Answer: u
"
review,e,"Input: review Answer: e
"
cover,o,"Input: cover Answer: o
"
evidence,v,"Input: evidence Answer: v
"
idea,d,"Input: idea Answer: d
"
brother,r,"Input: brother Answer: r
"
football,o,"Input: football Answer: o
"
election,l,"Input: election Answer: l
"
loss,o,"Input: loss Answer: o
"
novel,o,"Input: novel Answer: o
"
coast,o,"Input: coast Answer: o
"
person,e,"Input: person Answer: e
"
sea,e,"Input: sea Answer: e
"
gun,u,"Input: gun Answer: u
"
hand,a,"Input: hand Answer: a
"
study,t,"Input: study Answer: t
"
response,e,"Input: response Answer: e
"
star,t,"Input: star Answer: t
"
decision,e,"Input: decision Answer: e
"
magazine,a,"Input: magazine Answer: a
"
issue,s,"Input: issue Answer: s
"
debut,e,"Input: debut Answer: e
"
program,r,"Input: program Answer: r
"
score,c,"Input: score Answer: c
"
money,o,"Input: money Answer: o
"
turn,u,"Input: turn Answer: u
"
community,o,"Input: community Answer: o
"
length,e,"Input: length Answer: e
"
king,i,"Input: king Answer: i
"
bridge,r,"Input: bridge Answer: r
"
plan,l,"Input: plan Answer: l
"
center,e,"Input: center Answer: e
"
business,u,"Input: business Answer: u
"
pressure,r,"Input: pressure Answer: r
"
percent,e,"Input: percent Answer: e
"
speed,p,"Input: speed Answer: p
"
president,r,"Input: president Answer: r
"
media,e,"Input: media Answer: e
"
summer,u,"Input: summer Answer: u
"
material,a,"Input: material Answer: a
"
cut,u,"Input: cut Answer: u
"
writer,r,"Input: writer Answer: r
"
date,a,"Input: date Answer: a
"
influence,n,"Input: influence Answer: n
"
fleet,l,"Input: fleet Answer: l
"
size,i,"Input: size Answer: i
"
structure,t,"Input: structure Answer: t
"
fact,a,"Input: fact Answer: a
"
past,a,"Input: past Answer: a
"
type,y,"Input: type Answer: y
"
daughter,a,"Input: daughter Answer: a
"
car,a,"Input: car Answer: a
"
food,o,"Input: food Answer: o
"
room,o,"Input: room Answer: o
"
movement,o,"Input: movement Answer: o
"
cost,o,"Input: cost Answer: o
"
river,i,"Input: river Answer: i
"
view,i,"Input: view Answer: i
"
language,a,"Input: language Answer: a
"
self,e,"Input: self Answer: e
"
staff,t,"Input: staff Answer: t
"
course,o,"Input: course Answer: o
"
experience,x,"Input: experience Answer: x
"
producer,r,"Input: producer Answer: r
"
research,e,"Input: research Answer: e
"
radio,a,"Input: radio Answer: a
"
space,p,"Input: space Answer: p
"
feature,e,"Input: feature Answer: e
"
division,i,"Input: division Answer: i
"
effect,f,"Input: effect Answer: f
"
leader,e,"Input: leader Answer: e
"
woman,o,"Input: woman Answer: o
"
voice,o,"Input: voice Answer: o
"
face,a,"Input: face Answer: a
"
gold,o,"Input: gold Answer: o
"
increase,n,"Input: increase Answer: n
"
friend,r,"Input: friend Answer: r
"
location,o,"Input: location Answer: o
"
status,t,"Input: status Answer: t
"
child,h,"Input: child Answer: h
"
report,e,"Input: report Answer: e
"
something,o,"Input: something Answer: o
"
village,i,"Input: village Answer: i
"
manager,a,"Input: manager Answer: a
"
majority,a,"Input: majority Answer: a
"
cause,a,"Input: cause Answer: a
"
act,c,"Input: act Answer: c
"
minute,i,"Input: minute Answer: i
"
meeting,e,"Input: meeting Answer: e
"
park,a,"Input: park Answer: a
"
nature,a,"Input: nature Answer: a
"
flight,l,"Input: flight Answer: l
"
information,n,"Input: information Answer: n
"
defeat,e,"Input: defeat Answer: e
"
singer,i,"Input: singer Answer: i
"
need,e,"Input: need Answer: e
"
industry,n,"Input: industry Answer: n
"
broadcast,r,"Input: broadcast Answer: r
"
interview,n,"Input: interview Answer: n
"
