input,output,text
RT @rihanna: I ain't got no type...bad bitches is the only thing that I like,No,"Input: RT @rihanna: I ain't got no type...bad bitches is the only thing that I like Answer: No
"
"RT @_LexC__: I'm convinced that some of y'all bitches get pregnant purposely because ""birth control &amp; plan b pills"" are effective &#128533;&#128056;&#9749;&#65039;",Yes,"Input: RT @_LexC__: I'm convinced that some of y'all bitches get pregnant purposely because ""birth control &amp; plan b pills"" are effective &#128533;&#128056;&#9749;&#65039; Answer: Yes
"
RT @_danieebro: all these bitches fake if you ask me,No,"Input: RT @_danieebro: all these bitches fake if you ask me Answer: No
"
RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot.,Yes,"Input: RT @iBeZo: Stupid fucking nigger LeBron. You flopping stupid jungle bunny monkey faggot. Answer: Yes
"
RT @__nijel: Niggas be out here loving ALL they hoes...that's a no no.,No,"Input: RT @__nijel: Niggas be out here loving ALL they hoes...that's a no no. Answer: No
"
I need a girl from Jamaica I can't fuck with these basic black bitches,Yes,"Input: I need a girl from Jamaica I can't fuck with these basic black bitches Answer: Yes
"
Up too early the damn birds are still chirping smh.,No,"Input: Up too early the damn birds are still chirping smh. Answer: No
"
Molly make bitches crazy,Yes,"Input: Molly make bitches crazy Answer: Yes
"
"I respect any nigga that tell me he got a bitch , so I fall the fuck back no hating &#128175;",No,"Input: I respect any nigga that tell me he got a bitch , so I fall the fuck back no hating &#128175; Answer: No
"
This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527;,Yes,"Input: This niggga said I be branding bitches &#128569;&#128514;&#128514;&#128514;&#128514;&#128527; Answer: Yes
"
"RT @Soy_Brent: steal a nigga's bitch, don't steal a nigga's tweets.",No,"Input: RT @Soy_Brent: steal a nigga's bitch, don't steal a nigga's tweets. Answer: No
"
It's funny when u get a black female mad they start acting ghetto then a bitch,Yes,"Input: It's funny when u get a black female mad they start acting ghetto then a bitch Answer: Yes
"
I'm flexin on these bitches all gold bottles no Bombay,No,"Input: I'm flexin on these bitches all gold bottles no Bombay Answer: No
"
"A guy claiming to be Republican called C-Span news and said ""Republicans hate that nigger Obama"" https://t.co/XZe0u7guZM",Yes,"Input: A guy claiming to be Republican called C-Span news and said ""Republicans hate that nigger Obama"" https://t.co/XZe0u7guZM Answer: Yes
"
I don't love you hoes.,Yes,"Input: I don't love you hoes. Answer: Yes
"
"RT @t_grun: Yeah I checked my connection, I have fucking wifi. Did you check if you were being a lil bitch nigga? http://t.co/0kvF0REwjd",Yes,"Input: RT @t_grun: Yeah I checked my connection, I have fucking wifi. Did you check if you were being a lil bitch nigga? http://t.co/0kvF0REwjd Answer: Yes
"
"Like the song French, ""got all the black bitches mad because my main bitch strawberry"" Lololol",No,"Input: Like the song French, ""got all the black bitches mad because my main bitch strawberry"" Lololol Answer: No
"
@JustDoItSlow on sale ass hoes,Yes,"Input: @JustDoItSlow on sale ass hoes Answer: Yes
"
Going to the creek with my bitches tomorrow,No,"Input: Going to the creek with my bitches tomorrow Answer: No
"
The emoji I use when I'm flirting wit bitches ---&gt; &#128520;,Yes,"Input: The emoji I use when I'm flirting wit bitches ---&gt; &#128520; Answer: Yes
"
"@jimachterfeld @mattabbatacola Like I said, pussies.",No,"Input: @jimachterfeld @mattabbatacola Like I said, pussies. Answer: No
"
RT @caseytu88662466: Y these niggas on this hoe shit,Yes,"Input: RT @caseytu88662466: Y these niggas on this hoe shit Answer: Yes
"
I like saying the word pussy hoe ion no why!!!,No,"Input: I like saying the word pussy hoe ion no why!!! Answer: No
"
"RT @Tahrell: Now, bitches gonna think just because they're married, they're better than every female that's not. Smh",Yes,"Input: RT @Tahrell: Now, bitches gonna think just because they're married, they're better than every female that's not. Smh Answer: Yes
"
RT @SexyKarenFisher: Oh it's Saturday funny time! You better redneck necognize! http://t.co/qc4mgs3ejp,No,"Input: RT @SexyKarenFisher: Oh it's Saturday funny time! You better redneck necognize! http://t.co/qc4mgs3ejp Answer: No
"
