input,output,text
time,t i m e,"Input: time Answer: t i m e
"
game,g a m e,"Input: game Answer: g a m e
"
film,f i l m,"Input: film Answer: f i l m
"
season,s e a s o n,"Input: season Answer: s e a s o n
"
year,y e a r,"Input: year Answer: y e a r
"
second,s e c o n d,"Input: second Answer: s e c o n d
"
album,a l b u m,"Input: album Answer: a l b u m
"
song,s o n g,"Input: song Answer: s o n g
"
number,n u m b e r,"Input: number Answer: n u m b e r
"
part,p a r t,"Input: part Answer: p a r t
"
team,t e a m,"Input: team Answer: t e a m
"
episode,e p i s o d e,"Input: episode Answer: e p i s o d e
"
work,w o r k,"Input: work Answer: w o r k
"
day,d a y,"Input: day Answer: d a y
"
end,e n d,"Input: end Answer: e n d
"
music,m u s i c,"Input: music Answer: m u s i c
"
state,s t a t e,"Input: state Answer: s t a t e
"
century,c e n t u r y,"Input: century Answer: c e n t u r y
"
area,a r e a,"Input: area Answer: a r e a
"
life,l i f e,"Input: life Answer: l i f e
"
city,c i t y,"Input: city Answer: c i t y
"
show,s h o w,"Input: show Answer: s h o w
"
war,w a r,"Input: war Answer: w a r
"
group,g r o u p,"Input: group Answer: g r o u p
"
character,c h a r a c t e r,"Input: character Answer: c h a r a c t e r
"
system,s y s t e m,"Input: system Answer: s y s t e m
"
name,n a m e,"Input: name Answer: n a m e
"
government,g o v e r n m e n t,"Input: government Answer: g o v e r n m e n t
"
line,l i n e,"Input: line Answer: l i n e
"
home,h o m e,"Input: home Answer: h o m e
"
band,b a n d,"Input: band Answer: b a n d
"
record,r e c o r d,"Input: record Answer: r e c o r d
"
ship,s h i p,"Input: ship Answer: s h i p
"
world,w o r l d,"Input: world Answer: w o r l d
"
death,d e a t h,"Input: death Answer: d e a t h
"
release,r e l e a s e,"Input: release Answer: r e l e a s e
"
video,v i d e o,"Input: video Answer: v i d e o
"
role,r o l e,"Input: role Answer: r o l e
"
match,m a t c h,"Input: match Answer: m a t c h
"
way,w a y,"Input: way Answer: w a y
"
south,s o u t h,"Input: south Answer: s o u t h
"
side,s i d e,"Input: side Answer: s i d e
"
career,c a r e e r,"Input: career Answer: c a r e e r
"
school,s c h o o l,"Input: school Answer: s c h o o l
"
production,p r o d u c t i o n,"Input: production Answer: p r o d u c t i o n
"
story,s t o r y,"Input: story Answer: s t o r y
"
water,w a t e r,"Input: water Answer: w a t e r
"
power,p o w e r,"Input: power Answer: p o w e r
"
form,f o r m,"Input: form Answer: f o r m
"
storm,s t o r m,"Input: storm Answer: s t o r m
"
player,p l a y e r,"Input: player Answer: p l a y e r
"
history,h i s t o r y,"Input: history Answer: h i s t o r y
"
version,v e r s i o n,"Input: version Answer: v e r s i o n
"
support,s u p p o r t,"Input: support Answer: s u p p o r t
"
book,b o o k,"Input: book Answer: b o o k
"
period,p e r i o d,"Input: period Answer: p e r i o d
"
half,h a l f,"Input: half Answer: h a l f
"
company,c o m p a n y,"Input: company Answer: c o m p a n y
"
position,p o s i t i o n,"Input: position Answer: p o s i t i o n
"
order,o r d e r,"Input: order Answer: o r d e r
"
attack,a t t a c k,"Input: attack Answer: a t t a c k
"
include,i n c l u d e,"Input: include Answer: i n c l u d e
"
building,b u i l d i n g,"Input: building Answer: b u i l d i n g
"
town,t o w n,"Input: town Answer: t o w n
"
performance,p e r f o r m a n c e,"Input: performance Answer: p e r f o r m a n c e
"
country,c o u n t r y,"Input: country Answer: c o u n t r y
"
west,w e s t,"Input: west Answer: w e s t
"
aircraft,a i r c r a f t,"Input: aircraft Answer: a i r c r a f t
"
father,f a t h e r,"Input: father Answer: f a t h e r
"
track,t r a c k,"Input: track Answer: t r a c k
"
club,c l u b,"Input: club Answer: c l u b
"
control,c o n t r o l,"Input: control Answer: c o n t r o l
"
development,d e v e l o p m e n t,"Input: development Answer: d e v e l o p m e n t
"
result,r e s u l t,"Input: result Answer: r e s u l t
"
title,t i t l e,"Input: title Answer: t i t l e
"
week,w e e k,"Input: week Answer: w e e k
"
class,c l a s s,"Input: class Answer: c l a s s
"
force,f o r c e,"Input: force Answer: f o r c e
"
land,l a n d,"Input: land Answer: l a n d
"
areas,a r e a s,"Input: areas Answer: a r e a s
"
house,h o u s e,"Input: house Answer: h o u s e
"
fire,f i r e,"Input: fire Answer: f i r e
"
television,t e l e v i s i o n,"Input: television Answer: t e l e v i s i o n
"
return,r e t u r n,"Input: return Answer: r e t u r n
"
head,h e a d,"Input: head Answer: h e a d
"
style,s t y l e,"Input: style Answer: s t y l e
"
design,d e s i g n,"Input: design Answer: d e s i g n
"
level,l e v e l,"Input: level Answer: l e v e l
"
success,s u c c e s s,"Input: success Answer: s u c c e s s
"
route,r o u t e,"Input: route Answer: r o u t e
"
member,m e m b e r,"Input: member Answer: m e m b e r
"
battle,b a t t l e,"Input: battle Answer: b a t t l e
"
addition,a d d i t i o n,"Input: addition Answer: a d d i t i o n
"
air,a i r,"Input: air Answer: a i r
"
road,r o a d,"Input: road Answer: r o a d
"
range,r a n g e,"Input: range Answer: r a n g e
"
age,a g e,"Input: age Answer: a g e
"
race,r a c e,"Input: race Answer: r a c e
"
body,b o d y,"Input: body Answer: b o d y
"
present,p r e s e n t,"Input: present Answer: p r e s e n t
"
action,a c t i o n,"Input: action Answer: a c t i o n
"
population,p o p u l a t i o n,"Input: population Answer: p o p u l a t i o n
"
campaign,c a m p a i g n,"Input: campaign Answer: c a m p a i g n
"
stage,s t a g e,"Input: stage Answer: s t a g e
"
station,s t a t i o n,"Input: station Answer: s t a t i o n
"
law,l a w,"Input: law Answer: l a w
"
party,p a r t y,"Input: party Answer: p a r t y
"
night,n i g h t,"Input: night Answer: n i g h t
"
construction,c o n s t r u c t i o n,"Input: construction Answer: c o n s t r u c t i o n
"
damage,d a m a g e,"Input: damage Answer: d a m a g e
"
case,c a s e,"Input: case Answer: c a s e
"
event,e v e n t,"Input: event Answer: e v e n t
"
scene,s c e n e,"Input: scene Answer: s c e n e
"
front,f r o n t,"Input: front Answer: f r o n t
"
ground,g r o u n d,"Input: ground Answer: g r o u n d
"
field,f i e l d,"Input: field Answer: f i e l d
"
region,r e g i o n,"Input: region Answer: r e g i o n
"
office,o f f i c e,"Input: office Answer: o f f i c e
"
example,e x a m p l e,"Input: example Answer: e x a m p l e
"
army,a r m y,"Input: army Answer: a r m y
"
victory,v i c t o r y,"Input: victory Answer: v i c t o r y
"
mph,m p h,"Input: mph Answer: m p h
"
mother,m o t h e r,"Input: mother Answer: m o t h e r
"
project,p r o j e c t,"Input: project Answer: p r o j e c t
"
rest,r e s t,"Input: rest Answer: r e s t
"
highway,h i g h w a y,"Input: highway Answer: h i g h w a y
"
training,t r a i n i n g,"Input: training Answer: t r a i n i n g
"
rock,r o c k,"Input: rock Answer: r o c k
"
shot,s h o t,"Input: shot Answer: s h o t
"
process,p r o c e s s,"Input: process Answer: p r o c e s s
"
command,c o m m a n d,"Input: command Answer: c o m m a n d
"
month,m o n t h,"Input: month Answer: m o n t h
"
crew,c r e w,"Input: crew Answer: c r e w
"
studio,s t u d i o,"Input: studio Answer: s t u d i o
"
director,d i r e c t o r,"Input: director Answer: d i r e c t o r
"
change,c h a n g e,"Input: change Answer: c h a n g e
"
appearance,a p p e a r a n c e,"Input: appearance Answer: a p p e a r a n c e
"
list,l i s t,"Input: list Answer: l i s t
"
goal,g o a l,"Input: goal Answer: g o a l
"
relationship,r e l a t i o n s h i p,"Input: relationship Answer: r e l a t i o n s h i p
"
court,c o u r t,"Input: court Answer: c o u r t
"
chart,c h a r t,"Input: chart Answer: c h a r t
"
church,c h u r c h,"Input: church Answer: c h u r c h
"
attempt,a t t e m p t,"Input: attempt Answer: a t t e m p t
"
recording,r e c o r d i n g,"Input: recording Answer: r e c o r d i n g
"
sound,s o u n d,"Input: sound Answer: s o u n d
"
cast,c a s t,"Input: cast Answer: c a s t
"
base,b a s e,"Input: base Answer: b a s e
"
interest,i n t e r e s t,"Input: interest Answer: i n t e r e s t
"
term,t e r m,"Input: term Answer: t e r m
"
post,p o s t,"Input: post Answer: p o s t
"
art,a r t,"Input: art Answer: a r t
"
future,f u t u r e,"Input: future Answer: f u t u r e
"
review,r e v i e w,"Input: review Answer: r e v i e w
"
cover,c o v e r,"Input: cover Answer: c o v e r
"
evidence,e v i d e n c e,"Input: evidence Answer: e v i d e n c e
"
idea,i d e a,"Input: idea Answer: i d e a
"
brother,b r o t h e r,"Input: brother Answer: b r o t h e r
"
football,f o o t b a l l,"Input: football Answer: f o o t b a l l
"
election,e l e c t i o n,"Input: election Answer: e l e c t i o n
"
loss,l o s s,"Input: loss Answer: l o s s
"
novel,n o v e l,"Input: novel Answer: n o v e l
"
coast,c o a s t,"Input: coast Answer: c o a s t
"
person,p e r s o n,"Input: person Answer: p e r s o n
"
sea,s e a,"Input: sea Answer: s e a
"
gun,g u n,"Input: gun Answer: g u n
"
hand,h a n d,"Input: hand Answer: h a n d
"
study,s t u d y,"Input: study Answer: s t u d y
"
response,r e s p o n s e,"Input: response Answer: r e s p o n s e
"
star,s t a r,"Input: star Answer: s t a r
"
decision,d e c i s i o n,"Input: decision Answer: d e c i s i o n
"
magazine,m a g a z i n e,"Input: magazine Answer: m a g a z i n e
"
issue,i s s u e,"Input: issue Answer: i s s u e
"
debut,d e b u t,"Input: debut Answer: d e b u t
"
program,p r o g r a m,"Input: program Answer: p r o g r a m
"
score,s c o r e,"Input: score Answer: s c o r e
"
money,m o n e y,"Input: money Answer: m o n e y
"
turn,t u r n,"Input: turn Answer: t u r n
"
community,c o m m u n i t y,"Input: community Answer: c o m m u n i t y
"
length,l e n g t h,"Input: length Answer: l e n g t h
"
king,k i n g,"Input: king Answer: k i n g
"
bridge,b r i d g e,"Input: bridge Answer: b r i d g e
"
plan,p l a n,"Input: plan Answer: p l a n
"
center,c e n t e r,"Input: center Answer: c e n t e r
"
business,b u s i n e s s,"Input: business Answer: b u s i n e s s
"
pressure,p r e s s u r e,"Input: pressure Answer: p r e s s u r e
"
percent,p e r c e n t,"Input: percent Answer: p e r c e n t
"
speed,s p e e d,"Input: speed Answer: s p e e d
"
president,p r e s i d e n t,"Input: president Answer: p r e s i d e n t
"
media,m e d i a,"Input: media Answer: m e d i a
"
summer,s u m m e r,"Input: summer Answer: s u m m e r
"
material,m a t e r i a l,"Input: material Answer: m a t e r i a l
"
cut,c u t,"Input: cut Answer: c u t
"
writer,w r i t e r,"Input: writer Answer: w r i t e r
"
date,d a t e,"Input: date Answer: d a t e
"
influence,i n f l u e n c e,"Input: influence Answer: i n f l u e n c e
"
fleet,f l e e t,"Input: fleet Answer: f l e e t
"
size,s i z e,"Input: size Answer: s i z e
"
structure,s t r u c t u r e,"Input: structure Answer: s t r u c t u r e
"
fact,f a c t,"Input: fact Answer: f a c t
"
past,p a s t,"Input: past Answer: p a s t
"
type,t y p e,"Input: type Answer: t y p e
"
daughter,d a u g h t e r,"Input: daughter Answer: d a u g h t e r
"
